objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
MeanCVaR,0.02,200,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,131.282,127.4628451,0.028825534,1804.391803,85.484,94.022,177.08,212.6,1824,13.8,0,761,3.087804,22.39008885,0
MeanCVaR,0.02,200,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,131.4685,125.051256,0.048568278,1801.154901,85.457,94.598,177.48,212.97,5481.2,106.8,0,200,0,24.64099708,0
MeanCVaR,0.02,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,132.1665,123.0355563,0.06870375,1801.061542,86.123,96.331,178.21,217.14,9080.8,114.4,0,0,0,39.33357965,0
MeanCVaR,0.02,200,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,133.907,123.1636468,0.079659506,1800.064122,86.834,94.953,180.98,215.95,0,0,0,0,0,0,0
MeanCVaR,0.02,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,141.5,127.067097,0.101394958,2017.251976,87.165,89.398,195.835,205.78,462.8,0,0,0,0,0,30221.6
MeanCVaR,0.02,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,138.49775,130.0682732,0.060722798,1802.509913,87.7405,89.076,189.255,204.08,7561.8,234,400,0,0,36.8420332,0
MeanCVaR,0.02,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,138.9285,130.4610053,0.060842234,1811.535006,87.842,88.825,190.015,204.42,6739.2,209.8,0,1000,10.25282593,33.46917787,0
MeanCVaR,0.02,400,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,138.49225,130.2380474,0.059348404,1803.076193,87.6045,89.3,189.38,205.13,7624.6,234,0,400,0,42.65937831,0
MeanCVaR,0.02,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,138.7835,130.6062345,0.058737678,1806.191451,88.517,90.387,189.05,206.04,5614.6,184.8,0,1000,3.883226276,46.87632639,0
MeanCVaR,0.02,400,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,138.48575,130.2043834,0.0596422,1803.95749,87.6415,89.228,189.33,204.29,6936.8,218.2,0,400,0,49.90153169,0
MeanCVaR,0.02,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,139.50825,128.9149083,0.07571373,1802.633641,88.1915,89.963,190.825,206.98,13098.2,227,0,0,0,57.55244477,0
MeanCVaR,0.02,400,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,146.38475,126.6422294,0.13250776,1800.136367,90.1545,91.542,202.61,207.69,0,0,0,0,0,0,0
MeanCVaR,0.02,800,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,142.094,131.1771342,0.076333904,1902.811906,87.653,90.754,196.535,204.5,1010.8,0,0,0,0,0,49359
MeanCVaR,0.02,800,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,140.89825,132.0205519,0.062942178,1805.440804,87.609,92.202,194.1875,205.26,9214.6,469.2,800,0,0,57.24278744,0
MeanCVaR,0.02,800,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,140.83025,132.0172906,0.062565026,1834.120686,87.708,91.676,193.9525,203.73,10276.2,447.4,0,1000,29.93882852,65.84024042,0
MeanCVaR,0.02,800,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,140.827375,131.908175,0.06324236,1810.355963,87.57975,92.546,194.075,206.9,9152,469.2,0,800,0,77.70254972,0
MeanCVaR,0.02,800,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,140.86425,132.4088823,0.059977876,1806.192756,88.046,91.78,193.6825,203.77,11805.2,435.8,0,1000,2.722774808,65.98399433,0
MeanCVaR,0.02,800,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,140.574,132.2957806,0.058869036,1809.380682,87.7905,91.304,193.3575,202.16,11491.8,444.4,0,800,0,78.22374257,0
MeanCVaR,0.02,800,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,141.540875,130.7986747,0.075858918,1804.181532,88.17675,92.14,194.905,204.15,20721.6,468.4,0,0,0,102.031378,0
MeanCVaR,0.02,800,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,928.48275,0.5,0.999461472,1800.342646,134.91725,138.248,308.3475,305.17,0,0,0,0,0,0,0
MeanCVaR,0.03,100,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,97.796,84.19121159,0.13776247,1815.853463,66.652,84.54,128.94,192.32,258.2,0,0,0,0,0,58213.8
MeanCVaR,0.03,100,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,96.854,83.05827452,0.141147186,1800.521601,66.128,84.552,127.58,190.15,5789.8,68.6,100,0,0,23.09540879,0
MeanCVaR,0.03,100,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,95.196,88.29696568,0.071524968,1803.349323,66.252,85.225,124.14,191.87,1509.2,49.8,0,589.4,2.96353076,8.418515394,0
MeanCVaR,0.03,100,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,96.501,83.46906535,0.133731124,1800.936712,65.442,83.235,127.56,185.86,6215.8,68.6,0,100,0,22.01447406,0
MeanCVaR,0.03,100,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,95.035,88.46411256,0.068254834,1802.13986,65.65,83.595,124.42,189.85,1224.6,35.2,0,591.8,1.581622084,10.80908975,0
MeanCVaR,0.03,100,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,96.599,83.35037165,0.135981482,1800.941251,65.838,84.305,127.36,189.69,4568,68.8,0,100,0,20.30880871,0
MeanCVaR,0.03,100,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,97.636,82.59942753,0.152841626,1800.460509,66.612,86.065,128.66,193.82,7359.4,67.8,0,0,0,21.56581497,0
MeanCVaR,0.03,100,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,96.959,87.04095557,0.1015208,1800.030538,65.978,83.744,127.94,186.57,0,0,0,0,0,0,0
MeanCVaR,0.03,200,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,107.7155,91.6505244,0.14900169,1830.384488,72.111,81.087,143.32,184.51,450.8,0,0,0,0,0,86690.4
MeanCVaR,0.03,200,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,107.203,90.41469565,0.156115794,1801.263063,71.076,81.244,143.33,189.54,7823.4,137.2,200,0,0,32.48472756,0
MeanCVaR,0.03,200,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,105.7525,94.1399901,0.109346492,1808.506219,70.765,79.87,140.74,181.19,3370.4,113.8,0,993.6,7.582000248,20.13582783,0
MeanCVaR,0.03,200,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,107.2015,90.76442474,0.152726572,1801.41044,70.803,80.296,143.6,187.99,8567.4,137.2,0,200,0,29.00309061,0
MeanCVaR,0.03,200,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,105.3975,94.62282717,0.101879512,1803.338227,70.165,79.885,140.63,182.26,3846.4,92.2,0,995.6,2.50496445,24.32646909,0
MeanCVaR,0.03,200,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,106.779,90.7039058,0.150431528,1801.615872,71.088,80.187,142.47,183.81,8008.4,136.6,0,200,0,34.41817658,0
MeanCVaR,0.03,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,110.193,89.14643119,0.190512458,1801.23815,73.266,82.654,147.12,191.54,12516.8,136,0,0,0,45.30187501,0
MeanCVaR,0.03,200,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,108.699,92.87866423,0.145240948,1800.112051,72.188,81.759,145.21,187.93,0,0,0,0,0,0,0
MeanCVaR,0.03,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,116.3745,97.59432791,0.161134874,1940.302469,73.799,76.442,158.95,177.56,799.2,0,0,0,0,0,118426.8
MeanCVaR,0.03,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,115.2155,95.91959115,0.167518826,1804.004294,74.496,76.499,155.935,173.71,13599.8,276,400,0,0,74.51475172,0
MeanCVaR,0.03,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,115.469,96.97710141,0.159757058,1823.95281,75.023,77.945,155.915,175.83,11503.2,268.8,0,1000,20.8145062,63.35311021,0
MeanCVaR,0.03,400,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,115.33075,95.73877252,0.169761014,1804.854071,74.7515,76.6,155.91,170.09,13751.4,276,0,400,0,73.40172532,0
MeanCVaR,0.03,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,114.46675,97.18764697,0.15069188,1809.198271,74.0985,75.847,154.835,171.8,11019.2,258.4,0,1000,5.542730788,69.87761829,0
MeanCVaR,0.03,400,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,114.165,96.1550021,0.157542464,1804.108593,73.68,75.919,154.65,172.24,11530.6,264.8,0,400,0,45.96929202,0
MeanCVaR,0.03,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,116.34325,95.15008281,0.181931938,1802.786823,75.0565,75.633,157.63,172.75,20272,268,0,0,0,76.15989198,0
MeanCVaR,0.03,400,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,295.6445,97.41915887,0.383604278,1800.138707,90.5805,89.602,200.975,210.03,0,0,0,0,0,0,0
MeanCVaR,0.03,800,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,none,none,5,0,0,0,Feasible:5,119.218875,100.6410765,0.155596562,1889.109062,74.24025,77.346,164.1975,171.9,1264.2,0,0,0,0,0,308635.8
MeanCVaR,0.03,800,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,118.36675,98.41686526,0.168504194,1806.543195,74.9585,77.027,161.775,174.53,17092.4,535.8,800,0,0,111.5129063,0
MeanCVaR,0.03,800,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,117.892875,99.09059194,0.159441684,1825.885746,74.47325,77.503,161.3125,172.3,26113.4,560.4,0,1000,23.67920306,60.2040848,0
MeanCVaR,0.03,800,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,coverage,poly,5,0,0,0,Feasible:5,118.458625,99.21543663,0.162400426,1804.299668,74.96975,76.605,161.9475,174.84,21491.8,535.8,0,800,0,64.34093061,0
MeanCVaR,0.03,800,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,118.595125,99.61433488,0.160003922,1805.070158,75.50525,79.015,161.685,175,31125.4,541,0,1000,2.253204252,60.79273693,0
MeanCVaR,0.03,800,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,path,poly,5,0,0,0,Feasible:5,118.685625,99.13148696,0.164716876,1806.237559,75.06625,78.277,162.305,175.03,21963,524.6,0,800,0,80.5227429,0
MeanCVaR,0.03,800,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-MeanCVaR-RootCuts,none,none,5,0,0,0,Feasible:5,119.132875,98.16406006,0.175932322,1806.305598,75.88325,79.439,162.3825,172.89,34464.2,525.8,0,0,0,120.1775592,0
MeanCVaR,0.03,800,FPP-SAA-fpp_base,FPP-SAA-MeanCVaR,none,none,5,0,0,0,Feasible:5,928.4385,0.5,0.999461446,1800.262017,124.818,127.966,289.0625,288.15,0,0,0,0,0,0,0
