objective_family,landscape,case_id,alpha,seed,method_label,runtime_seconds,best_runtime_seconds,runtime_ratio,status,success
Expected,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,4.40270052,3.54073207,1.243443568,Optimal,true
Expected,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,6.06130124,3.54073207,1.711877973,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-SAA base,13.75056749,13.75056749,1,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-SAA cut,22.05375284,13.75056749,1.603843104,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,47.19169841,13.75056749,3.431981876,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,21.19303668,13.75056749,1.541248148,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,14.70678194,13.75056749,1.069539999,Optimal,true
Expected,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,64.11090257,13.75056749,4.662418669,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-SAA base,2.21551551,2.21551551,1,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-SAA cut,5.5836848,2.21551551,2.52026437,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,7.88936783,2.21551551,3.560962582,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,6.24909312,2.21551551,2.820604546,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,2.36033403,2.21551551,1.065365609,Optimal,true
Expected,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,7.2472807,2.21551551,3.271148709,Optimal,true
Expected,Sub20,case02,0.02,20260603,FPP-SAA base,28.74740778,28.74740778,1,Optimal,true
Expected,Sub20,case02,0.02,20260603,FPP-SAA cut,49.12616673,28.74740778,1.708890315,Optimal,true
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,300.3209597,28.74740778,10.44688836,Feasible,true
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,203.6021364,28.74740778,7.082452024,Optimal,true
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,169.843596,28.74740778,5.90813604,Optimal,true
Expected,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,41.58265281,28.74740778,1.446483562,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-SAA base,1.67501518,1.67501518,1,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-SAA cut,5.08992495,1.67501518,3.038733625,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,2.91945617,1.67501518,1.742943112,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,8.12477573,1.67501518,4.850568417,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,7.2652333,1.67501518,4.337413408,Optimal,true
Expected,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,17.19549583,1.67501518,10.26587462,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-SAA base,16.97348366,16.97348366,1,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-SAA cut,60.07198762,16.97348366,3.539166669,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,189.3946853,16.97348366,11.15826834,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,187.4271118,16.97348366,11.04234791,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,115.7167245,16.97348366,6.817499978,Optimal,true
Expected,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,38.12779789,16.97348366,2.246315409,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-SAA base,3.79104554,3.79104554,1,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-SAA cut,9.6362432,3.79104554,2.541843167,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,13.11757329,3.79104554,3.460146588,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,9.59962613,3.79104554,2.532184335,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,8.35440557,3.79104554,2.20372071,Optimal,true
Expected,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,13.47783959,3.79104554,3.555177443,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-SAA base,14.56877147,14.56877147,1,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-SAA cut,19.85317723,14.56877147,1.36272144,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,182.435371,14.56877147,12.52235793,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,70.28738966,14.56877147,4.824524141,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,31.19870002,14.56877147,2.141477755,Optimal,true
Expected,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,67.979271,14.56877147,4.666094951,Optimal,true
CVaR,Sub20,case00,0.01,20260601,FPP-SAA base,204.179494,3.56192609,57.32277673,Optimal,true
CVaR,Sub20,case00,0.01,20260601,FPP-SAA cut,300.0456477,3.56192609,84.23691007,Feasible,true
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders,3.56192609,3.56192609,1,Optimal,true
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI,5.10602225,3.56192609,1.433500337,Optimal,true
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,7.98378971,3.56192609,2.241424866,Optimal,true
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-Benders-Combinatorial,89.59241544,3.56192609,25.15280025,Optimal,true
CVaR,Sub20,case00,0.02,20260601,FPP-SAA base,300.0295041,300.0106573,1.00006282,Feasible,true
CVaR,Sub20,case00,0.02,20260601,FPP-SAA cut,300.0106573,300.0106573,1,Feasible,true
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders,300.2958836,300.0106573,1.00095072,Feasible,true
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI,300.8527649,300.0106573,1.002806926,Feasible,true
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,300.6450984,300.0106573,1.002114728,Feasible,true
CVaR,Sub20,case00,0.02,20260601,FPP-Branch-Benders-Combinatorial,359.0695493,300.0106573,1.19685598,Feasible,true
CVaR,Sub20,case01,0.01,20260602,FPP-SAA base,300.0274697,5.89227749,50.91876107,Feasible,true
CVaR,Sub20,case01,0.01,20260602,FPP-SAA cut,300.0601554,5.89227749,50.92430829,Feasible,true
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders,7.81018112,5.89227749,1.325494452,Optimal,true
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI,13.00348881,5.89227749,2.206869726,Optimal,true
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,5.89227749,5.89227749,1,Optimal,true
CVaR,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,163.1092721,5.89227749,27.68187214,Optimal,true
CVaR,Sub20,case01,0.02,20260602,FPP-SAA base,300.0148986,300.0148986,1,Feasible,true
CVaR,Sub20,case01,0.02,20260602,FPP-SAA cut,300.0679795,300.0148986,1.000176927,Feasible,true
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,300.278106,300.0148986,1.000877314,Feasible,true
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,300.4213172,300.0148986,1.001354661,Feasible,true
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,300.5673285,300.0148986,1.001841341,Feasible,true
CVaR,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,307.3522079,300.0148986,1.024456483,Feasible,true
CVaR,Sub20,case02,0.01,20260603,FPP-SAA base,115.9678699,3.34752274,34.64289235,Optimal,true
CVaR,Sub20,case02,0.01,20260603,FPP-SAA cut,300.0114514,3.34752274,89.62193083,Feasible,true
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,3.34752274,3.34752274,1,Optimal,true
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,7.79259554,3.34752274,2.327869337,Optimal,true
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,11.22521074,3.34752274,3.353288868,Optimal,true
CVaR,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,96.79796117,3.34752274,28.91629682,Optimal,true
CVaR,Sub20,case02,0.02,20260603,FPP-SAA base,300.0236516,300.0236516,1,Feasible,true
CVaR,Sub20,case02,0.02,20260603,FPP-SAA cut,300.0376892,300.0236516,1.000046788,Feasible,true
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,300.6802383,300.0236516,1.00218845,Feasible,true
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,300.8548269,300.0236516,1.002770366,Feasible,true
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,300.4261731,300.0236516,1.001341633,Feasible,true
CVaR,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,302.7385819,300.0236516,1.009049054,Feasible,true
CVaR,Sub20,case03,0.01,20260604,FPP-SAA base,234.3797938,6.20345721,37.78212469,Optimal,true
CVaR,Sub20,case03,0.01,20260604,FPP-SAA cut,300.0552703,6.20345721,48.36904006,Feasible,true
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,7.05865075,6.20345721,1.137857571,Optimal,true
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,6.20345721,6.20345721,1,Optimal,true
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,6.47395343,6.20345721,1.043604108,Optimal,true
CVaR,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,97.20595571,6.20345721,15.66964233,Optimal,true
CVaR,Sub20,case03,0.02,20260604,FPP-SAA base,300.0438601,300.0438601,1,Feasible,true
CVaR,Sub20,case03,0.02,20260604,FPP-SAA cut,300.0559288,300.0438601,1.000040223,Feasible,true
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,300.2833512,300.0438601,1.000798187,Feasible,true
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,300.9100821,300.0438601,1.002886985,Feasible,true
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,300.3675532,300.0438601,1.00107882,Feasible,true
CVaR,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,303.5422177,300.0438601,1.011659488,Feasible,true
CVaR,Sub20,case04,0.01,20260605,FPP-SAA base,115.0540063,10.6696745,10.78327238,Optimal,true
CVaR,Sub20,case04,0.01,20260605,FPP-SAA cut,300.018053,10.6696745,28.11876341,Feasible,true
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,10.6696745,10.6696745,1,Optimal,true
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,17.87210041,10.6696745,1.675037079,Optimal,true
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,17.51204781,10.6696745,1.641291664,Optimal,true
CVaR,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,216.2719273,10.6696745,20.26977743,Optimal,true
CVaR,Sub20,case04,0.02,20260605,FPP-SAA base,300.0089134,300.0089134,1,Feasible,true
CVaR,Sub20,case04,0.02,20260605,FPP-SAA cut,300.0125877,300.0089134,1.000012247,Feasible,true
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,300.7482496,300.0089134,1.002464381,Feasible,true
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,300.8913487,300.0089134,1.002941364,Feasible,true
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,300.7048804,300.0089134,1.002319821,Feasible,true
CVaR,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,306.2669363,300.0089134,1.020859457,Feasible,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-SAA base,176.8294356,2.75330455,64.22443737,Optimal,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-SAA cut,194.8079989,2.75330455,70.75425017,Optimal,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders,4.45970663,2.75330455,1.619765104,Optimal,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI,2.75330455,2.75330455,1,Optimal,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,5.82656661,2.75330455,2.116208543,Optimal,true
MeanCVaR,Sub20,case00,0.01,20260601,FPP-Branch-Benders-Combinatorial,38.57795552,2.75330455,14.01151047,Optimal,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-SAA base,300.0216082,300.0216082,1,Feasible,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-SAA cut,300.0410625,300.0216082,1.000064843,Feasible,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders,300.3733767,300.0216082,1.001172477,Feasible,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI,300.4944231,300.0216082,1.001575936,Feasible,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,300.5011722,300.0216082,1.001598431,Feasible,true
MeanCVaR,Sub20,case00,0.02,20260601,FPP-Branch-Benders-Combinatorial,302.6353808,300.0216082,1.008711948,Feasible,true
MeanCVaR,Sub20,case01,0.01,20260602,FPP-SAA base,94.27746717,4.83285348,19.50761958,Optimal,true
MeanCVaR,Sub20,case01,0.01,20260602,FPP-SAA cut,300.0233164,4.83285348,62.0799529,Feasible,true
MeanCVaR,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders,5.8800353,4.83285348,1.21667982,Optimal,true
