objective_family,landscape,case_id,alpha,seed,method_label,objective_in_sample,best_bound,configured_mip_gap_column,computed_relative_gap,computed_relative_gap_percent,status
Expected,Sub20,case01,0.01,20260602,FPP-SAA cut,110.80000000,110.80000000,0.001,0,0,Optimal
Expected,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders,110.80000000,110.80000000,0.001,0,0,Optimal
Expected,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI,110.80000000,110.80000000,0.001,0,0,Optimal
Expected,Sub20,case01,0.01,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,110.80000000,110.70339131,0.001,0.000871919584838,0.0871919584838,Optimal
Expected,Sub20,case01,0.01,20260602,FPP-Branch-Benders-Combinatorial,110.80000000,110.79148148,0.001,7.68819494584e-05,0.00768819494584,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-SAA base,85.20000000,85.20000000,0.001,0,0,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-SAA cut,85.20000000,85.15500000,0.001,0.000528169014085,0.0528169014085,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders,85.20000000,85.11493490,0.001,0.000998416666667,0.0998416666667,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI,85.20000000,85.11597458,0.001,0.000986213849765,0.0986213849765,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-Branch-and-Benders-LLBI-RootCuts,85.20000000,85.11598188,0.001,0.000986128169014,0.0986128169014,Optimal
Expected,Sub20,case01,0.02,20260602,FPP-Branch-Benders-Combinatorial,85.20000000,85.14142857,0.001,0.000687458098592,0.0687458098592,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-SAA base,110.94000000,110.94000000,0.001,0,0,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-SAA cut,111.02000000,110.91750000,0.001,0.000923257070798,0.0923257070798,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders,110.94000000,110.83379012,0.001,0.000957363259419,0.0957363259419,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI,110.94000000,110.83720143,0.001,0.000926614115738,0.0926614115738,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,110.94000000,110.85402186,0.001,0.000774996755003,0.0774996755003,Optimal
Expected,Sub20,case02,0.01,20260603,FPP-Branch-Benders-Combinatorial,110.94000000,110.94000000,0.001,0,0,Optimal
Expected,Sub20,case02,0.02,20260603,FPP-SAA base,87.22000000,87.22000000,0.001,0,0,Optimal
Expected,Sub20,case02,0.02,20260603,FPP-SAA cut,87.22000000,87.22000000,0.001,0,0,Optimal
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders,87.36000000,85.82677460,0.001,0.0175506570513,1.75506570513,Feasible
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI,87.22000000,87.13284355,0.001,0.00099927138271,0.099927138271,Optimal
Expected,Sub20,case02,0.02,20260603,FPP-Branch-and-Benders-LLBI-RootCuts,87.22000000,87.13284384,0.001,0.000999268057785,0.0999268057785,Optimal
Expected,Sub20,case02,0.02,20260603,FPP-Branch-Benders-Combinatorial,87.22000000,87.22000000,0.001,0,0,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-SAA base,97.12000000,97.12000000,0.001,0,0,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-SAA cut,97.12000000,97.07000000,0.001,0.000514827018122,0.0514827018122,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders,97.12000000,97.04880573,0.001,0.000733054674629,0.0733054674629,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI,97.12000000,97.02646747,0.001,0.000963061470346,0.0963061470346,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,97.12000000,97.11000000,0.001,0.000102965403624,0.0102965403624,Optimal
Expected,Sub20,case03,0.01,20260604,FPP-Branch-Benders-Combinatorial,97.12000000,97.12000000,0.001,0,0,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-SAA base,77.55000000,77.47770833,0.001,0.000932194326241,0.0932194326241,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-SAA cut,77.55000000,77.55000000,0.001,0,0,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders,77.55000000,77.47247233,0.001,0.000999712056738,0.0999712056738,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI,77.55000000,77.47245469,0.001,0.000999939522888,0.0999939522888,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-Branch-and-Benders-LLBI-RootCuts,77.55000000,77.47255322,0.001,0.00099866898775,0.099866898775,Optimal
Expected,Sub20,case03,0.02,20260604,FPP-Branch-Benders-Combinatorial,77.55000000,77.55000000,0.001,0,0,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-SAA base,105.65000000,105.65000000,0.001,0,0,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-SAA cut,105.65000000,105.58000000,0.001,0.000662565073355,0.0662565073355,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders,105.65000000,105.55283381,0.001,0.0009196989115,0.09196989115,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI,105.65000000,105.56000000,0.001,0.000851869380028,0.0851869380028,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,105.65000000,105.54516093,0.001,0.00099232437293,0.099232437293,Optimal
Expected,Sub20,case04,0.01,20260605,FPP-Branch-Benders-Combinatorial,105.65000000,105.56857143,0.001,0.000770738949361,0.0770738949361,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-SAA base,82.02000000,82.02000000,0.001,0,0,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-SAA cut,82.02000000,82.02000000,0.001,0,0,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders,82.02000000,81.93803429,0.001,0.000999338088271,0.0999338088271,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI,82.02000000,81.93809191,0.001,0.000998635576689,0.0998635576689,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-Branch-and-Benders-LLBI-RootCuts,82.02000000,81.93815538,0.001,0.000997861741039,0.0997861741039,Optimal
Expected,Sub20,case04,0.02,20260605,FPP-Branch-Benders-Combinatorial,82.02000000,82.02000000,0.001,0,0,Optimal
CVaR,Sub20,case00,0.01,20260601,FPP-SAA base,226.00000000,225.79110451,0.001,0.000924316327434,0.0924316327434,Optimal
CVaR,Sub20,case00,0.01,20260601,FPP-SAA cut,227.90000000,215.76648341,0.001,0.0532405291356,5.32405291356,Feasible
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders,226.00000000,225.78380961,0.001,0.000956594646018,0.0956594646018,Optimal
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI,226.00000000,225.77764562,0.001,0.000983868938053,0.0983868938053,Optimal
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-and-Benders-LLBI-RootCuts,226.00000000,225.78975799,0.001,0.000930274380531,0.0930274380531,Optimal
CVaR,Sub20,case00,0.01,20260601,FPP-Branch-Benders-Combinatorial,226.00000000,225.83480441,0.001,0.000730953938053,0.0730953938053,Optimal
CVaR,Sub20,case00,0.02,20260601,FPP-SAA base,169.50000000,155.38748693,0.001,0.0832596641298,8.32596641298,Feasible
CVaR,Sub20,case00,0.02,20260601,FPP-SAA cut,167.90000000,150.97945320,0.001,0.100777527099,10.0777527099,Feasible
