folder,graph_variant,layout,status,declared_n_cells,inferred_n_cells,metadata_consistent,message_files_detected,ignition_records_detected,message_min_scenario_id,message_max_scenario_id,ignition_min_scenario_id,ignition_max_scenario_id,min_source,max_source,min_target,max_target,min_ignition,max_ignition,missing_messages,missing_ignitions,filename_mismatches,scenarios_with_ignition_outside_node_universe,scenarios_with_ignition_absent_from_message_graph,analyzed_scenarios,rooted_tree_ratio,acyclic_dag_ratio,general_directed_graph_ratio,not_fully_reachable_ratio,empty_ratio,notes
100x100,shortest_path,new_instances,metadata_warning,10000,1600,false,10000,10000,1,10000,1,10000,1,1600,1,1600,1,1600,0,0,0,0,66,10000,0.09170000,0.90170000,0.00000000,0.00000000,0.00660000,"Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Metadata inconsistency: folder name suggests 100x100 (10000 cells), but inferred forest size is 1600 cells. | Metadata inconsistency: folder name suggests 100x100, but run.log references instance_40x40.tif. | Skipped 1 non-arc rows in MessagesFile00001.csv."
100x100_reburn,reburn_all_paths,new_instances,metadata_warning,10000,1600,false,10000,10000,1,10000,1,10000,1,1600,1,1600,1,1600,0,0,0,0,66,10000,0.01760000,0.02510000,0.95070000,0.00000000,0.00660000,"Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Metadata inconsistency: folder name suggests 100x100 (10000 cells), but inferred forest size is 1600 cells. | Metadata inconsistency: folder name suggests 100x100, but run.log references instance_40x40.tif. | Skipped 1 non-arc rows in MessagesFile00001.csv."
20x20,shortest_path,new_instances,ok,400,400,true,10000,10000,1,10000,1,10000,1,400,1,400,1,400,0,0,0,0,76,10000,0.12410000,0.86830000,0.00000000,0.00000000,0.00760000,Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Skipped 1 non-arc rows in MessagesFile00001.csv.
20x20_reburn,reburn_all_paths,new_instances,ok,400,400,true,10000,10000,1,10000,1,10000,1,400,1,400,1,400,0,0,0,0,76,10000,0.02100000,0.02880000,0.94260000,0.00000000,0.00760000,Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Skipped 1 non-arc rows in MessagesFile00001.csv.
40x40,shortest_path,new_instances,ok,1600,1600,true,10000,10000,1,10000,1,10000,1,1600,1,1600,1,1600,0,0,0,0,66,10000,0.09170000,0.90170000,0.00000000,0.00000000,0.00660000,Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Skipped 1 non-arc rows in MessagesFile00001.csv.
40x40_reburn,reburn_all_paths,new_instances,ok,1600,1600,true,10000,10000,1,10000,1,10000,1,1600,1,1600,1,1600,0,0,0,0,66,10000,0.01760000,0.02510000,0.95070000,0.00000000,0.00660000,Could not open fuels.asc; attempting fallback forest-size inference. | Forest size inferred from run.log instance TIF metadata. | new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Skipped 1 non-arc rows in MessagesFile00001.csv.
