instance_id,instance_type,objective_family,alpha,train_scenario_count,method_family,method,projected_llbi_family_reconstructed,projected_llbi_variant_reconstructed,runs,solved_to_optimality,time_limited_with_incumbent,failed_or_without_incumbent,status_counts,avg_objective_value,avg_best_bound,avg_mip_gap,avg_runtime,avg_train_expected_burned_area,avg_test_expected_burned_area,avg_train_worst10_burned_area,avg_test_worst10_burned_area,avg_lazy_benders_cuts_added,avg_root_user_cuts_added,avg_standard_llbi_cut_count,avg_projected_llbi_cut_count,avg_root_separation_time,avg_subproblem_solving_time,avg_combinatorial_cut_count
new20x20,shortest_path,CVaR,0.01,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,5,0,0,Optimal:5,262.23,261.9815633,0.000946432,65.51169174,139.742,138.9572,262.23,271.364,3284.4,135.2,0,0,0,27.24219639,0
new20x20,shortest_path,CVaR,0.01,200,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,268.84,241.1894328,0.1014963,1800.142509,141.087,139.6482,268.84,275.3,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.01,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,5,0,0,Optimal:5,263.535,263.4443246,0.000346392,382.2810604,141.1925,139.8562,263.535,267.836,542.8,0,0,0,0,0,11350.4
new20x20,shortest_path,CVaR,0.01,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,5,0,0,Optimal:5,263.535,263.3032399,0.000878006,42.70643769,141.1925,139.8562,263.535,267.836,1570.2,282.6,400,0,0,15.60072007,0
new20x20,shortest_path,CVaR,0.01,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,5,0,0,Optimal:5,263.535,263.3393811,0.000739324,49.29179652,141.1925,139.8562,263.535,267.836,2330.2,265.6,0,1000,17.2311032,12.10294691,0
new20x20,shortest_path,CVaR,0.01,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,5,0,0,Optimal:5,263.535,263.2969896,0.000903994,59.0695905,141.1925,139.8562,263.535,267.836,2312.2,212.4,0,1000,2.78463306,23.12869378,0
new20x20,shortest_path,CVaR,0.01,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,5,0,0,Optimal:5,263.535,263.2861127,0.000943802,79.93721224,141.1925,139.8562,263.535,267.836,6868.6,271.4,0,0,0,33.34141987,0
new20x20,shortest_path,CVaR,0.01,400,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,2503.21,144.1574315,0.846411954,1800.432704,240.166,235.516,380.695,379.774,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.02,100,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,3,0,0,Feasible:2;Optimal:3,179.32,169.0521645,0.0559298,1532.090511,97.382,103.0904,179.32,210.57,343.2,0,0,0,0,0,51481.4
new20x20,shortest_path,CVaR,0.02,100,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,1,0,0,Feasible:4;Optimal:1,176.76,166.6848429,0.056175538,1783.203241,98.49,103.836,176.76,207.332,3594.8,71.4,100,0,0,27.20797574,0
new20x20,shortest_path,CVaR,0.02,100,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,3,0,0,Feasible:2;Optimal:3,176.06,172.019217,0.022216956,960.1857908,100.004,104.5486,176.06,208.332,1091.8,63.6,0,688,6.514425904,13.97114726,0
new20x20,shortest_path,CVaR,0.02,100,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,4,0,0,Feasible:1;Optimal:4,176,173.8549534,0.011811966,452.3852097,99.914,104.6008,176,205.964,394.2,38.8,0,718,1.743341128,8.809527542,0
new20x20,shortest_path,CVaR,0.02,100,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,179.14,162.862846,0.089963524,1800.507789,101.058,102.0872,179.14,199.762,5417.4,70.4,0,0,0,34.92171858,0
new20x20,shortest_path,CVaR,0.02,100,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,1,0,0,Feasible:4;Optimal:1,178.34,165.931437,0.069029326,1737.492079,99.282,102.9674,178.34,202.23,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.02,200,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,1,0,0,Feasible:4;Optimal:1,181.49,174.0966662,0.040041254,1675.758715,96.501,96.706,181.49,193.754,1023,0,0,0,0,0,31403.2
new20x20,shortest_path,CVaR,0.02,200,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,182.76,168.0215704,0.080621652,1801.476314,97.033,97.4798,182.76,194.55,7427.2,146.6,200,0,0,55.67248938,0
new20x20,shortest_path,CVaR,0.02,200,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,1,0,0,Feasible:4;Optimal:1,180.97,173.8593964,0.03890379,1554.763274,96.625,97.1556,180.97,195.066,3378.2,134.6,0,1000,13.79445208,38.66862604,0
new20x20,shortest_path,CVaR,0.02,200,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,2,0,0,Feasible:3;Optimal:2,180.89,178.0752721,0.015399178,1271.758289,98.282,98.618,180.89,194.028,2046.2,100,0,1000,3.336891662,34.75945495,0
new20x20,shortest_path,CVaR,0.02,200,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,182.82,165.5907023,0.094004612,1801.000584,96.377,96.8146,182.82,196.156,9615.8,142.8,0,0,0,51.73822641,0
new20x20,shortest_path,CVaR,0.02,200,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,185.2,162.9813121,0.118632822,1800.111867,99.62,100.1926,185.16,199.786,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.02,400,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,0,0,0,Feasible:5,188.67,175.2106243,0.07085324,1852.324626,98.635,96.998,188.67,194.228,904.6,0,0,0,0,0,38905.4
new20x20,shortest_path,CVaR,0.02,400,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,191.465,167.6226498,0.123830606,1804.57671,101.6465,100.736,191.465,198.804,10883.2,286.4,400,0,0,101.0256911,0
new20x20,shortest_path,CVaR,0.02,400,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,187.65,172.6303641,0.0799259,1824.566802,100.056,98.5934,187.65,193.722,9146.6,288.8,0,1000,22.39340966,73.89494557,0
new20x20,shortest_path,CVaR,0.02,400,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,187.51,175.2923421,0.06500479,1805.413157,99.8275,98.8064,187.51,194.43,8038.2,270.8,0,1000,3.08250442,72.4002124,0
new20x20,shortest_path,CVaR,0.02,400,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,192.21,166.3273872,0.134405926,1802.217357,103.264,102.781,192.21,200.26,18636.8,291.6,0,0,0,90.70890706,0
new20x20,shortest_path,CVaR,0.02,400,FPP-SAA-fpp_base,FPP-SAA-CVaR,none,none,5,0,0,0,Feasible:5,1947.345,65.46556067,0.82607254,1800.350816,207.952,203.6622,349.335,347.424,0,0,0,0,0,0,0
new20x20,shortest_path,CVaR,0.03,100,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,none,none,5,0,0,0,Feasible:5,134.3,120.848765,0.099932958,1814.534676,77.234,80.746,134.3,160.328,1243,0,0,0,0,0,42490
new20x20,shortest_path,CVaR,0.03,100,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders-CVaR-LLBI-RootCuts,none,none,5,0,0,0,Feasible:5,140.66,106.138716,0.244246898,1800.792876,79.34,82.7536,140.66,161.014,5191.6,74.2,100,0,0,52.41728703,0
new20x20,shortest_path,CVaR,0.03,100,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,coverage,exp,5,0,0,0,Feasible:5,132.54,121.8846234,0.080251118,1807.28548,76.198,80.6336,132.54,161.192,1080.2,66.8,0,744.4,6.714711644,15.87692954,0
new20x20,shortest_path,CVaR,0.03,100,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,path,exp,5,0,0,0,Feasible:5,132.84,125.7554062,0.053085886,1802.662383,75.998,80.7058,132.84,161.564,362,46.8,0,763.4,2.079926746,9.19783687,0
new20x20,shortest_path,CVaR,0.03,100,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders-CVaR-RootCuts,none,none,5,0,0,0,Feasible:5,140.36,107.295812,0.234651602,1800.652131,80.902,83.6806,140.36,167.128,7154,71,0,0,0,57.32105393,0
