alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_num_variables,min_num_variables,max_num_variables,avg_num_constraints,min_num_constraints,max_num_constraints,avg_num_nonzeros,min_num_nonzeros,max_num_nonzeros,avg_coverage_llbi_num_zeta_vars,min_coverage_llbi_num_zeta_vars,max_coverage_llbi_num_zeta_vars,avg_path_llbi_num_b_vars,min_path_llbi_num_b_vars,max_path_llbi_num_b_vars
0.01,Expected,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,460,460,460,365.8,304,557,,,,0,0,0,0,0,0
0.01,Expected,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,460,460,460,333,274,511,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedPathLLBI-exp,5,Optimal:5,460,460,460,275,210,351,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,460,460,460,275,210,351,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,460,460,460,372.4,297,521,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,460,460,460,284.6,235,427,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Optimal:5,561,561,561,376,306,464,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,561,561,561,385.8,320,465,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Optimal:5,561,561,561,484.2,316,718,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,561,561,561,434.2,301,659,,,,0,0,0,0,0,0
