alpha,objective_family,projected_method,projected_variant,projected_llbi_strategy,projected_use_root_cuts,baseline_category,projected_rows,baseline_rows,projected_avg_objective_metric,baseline_avg_objective_metric,delta_objective_metric,projected_avg_best_bound,baseline_avg_best_bound,delta_best_bound,projected_avg_gap_metric,baseline_avg_gap_metric,delta_gap_metric,projected_avg_runtime_metric,baseline_avg_runtime_metric,delta_runtime_metric,projected_avg_explored_nodes,baseline_avg_explored_nodes,delta_explored_nodes,projected_avg_train_expected_burned_area,baseline_avg_train_expected_burned_area,delta_train_expected_burned_area,projected_avg_test_expected_burned_area,baseline_avg_test_expected_burned_area,delta_test_expected_burned_area,projected_avg_branch_benders_lazy_cuts_added,baseline_avg_branch_benders_lazy_cuts_added,delta_branch_benders_lazy_cuts_added,projected_avg_branch_benders_candidate_incumbents_checked,baseline_avg_branch_benders_candidate_incumbents_checked,delta_branch_benders_candidate_incumbents_checked,projected_avg_num_variables,baseline_avg_num_variables,delta_num_variables,projected_avg_num_constraints,baseline_avg_num_constraints,delta_num_constraints,projected_avg_num_nonzeros,baseline_avg_num_nonzeros,delta_num_nonzeros
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI,5,5,105.446,105.446,0,105.3740015,105.3858018,-0.011800264,0.0006844579551,0.0005655202694,0.0001189376857,3.402037412,25.81002403,-22.40798662,27.6,14.8,12.8,105.446,105.446,0,108.346,108.346,0,51.6,43,8.6,11.8,13.4,-1.6,460,14501.8,-14041.8,328,14185.8,-13857.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,105.446,105.446,0,105.3740015,105.413181,-0.0391795,0.0006844579551,0.0003298840886,0.0003545738665,3.402037412,28.97733314,-25.57529573,27.6,10.8,16.8,105.446,105.446,0,108.346,108.346,0,51.6,23.8,27.8,11.8,11.4,0.4,460,14501.8,-14041.8,328,14181.6,-13853.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-PathLLBI,5,5,105.446,105.456,-0.01,105.3740015,105.4178967,-0.043895138,0.0006844579551,0.0003561067025,0.0003283512526,3.402037412,51.12148594,-47.71944853,27.6,6.6,21,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,51.6,0,51.6,11.8,4.8,7,460,14601.8,-14141.8,328,14851.2,-14523.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,105.446,105.456,-0.01,105.3740015,105.4178967,-0.043895138,0.0006844579551,0.0003561067025,0.0003283512526,3.402037412,37.52249654,-34.12045913,27.6,6.6,21,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,51.6,0,51.6,11.8,4.8,7,460,14601.8,-14141.8,328,14851.2,-14523.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,105.446,105.52,-0.074,105.3740015,105.2109779,0.163023614,0.0006844579551,0.00291161737,-0.002227159415,3.402037412,172.2329061,-168.8308687,27.6,2.6,25,105.446,105.52,-0.074,108.346,108.9991111,-0.65311111,51.6,0,51.6,11.8,3.6,8.2,460,28643.6,-28183.6,328,28993,-28665,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,107.088,-1.642,105.3740015,105.3744224,-0.000420832,0.0006844579551,0.01442388348,-0.01373942552,3.402037412,190.5920369,-187.1899995,27.6,4.2,23.4,105.446,107.088,-1.642,108.346,110.274,-1.928,51.6,0,51.6,11.8,3.8,8,460,28643.6,-28183.6,328,28993,-28665,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,105.446,105.448,-0.002,105.3740015,105.4066472,-0.032645706,0.0006844579551,0.0003996088162,0.000284849139,3.402037412,163.1548011,-159.7527637,27.6,4.8,22.8,105.446,105.448,-0.002,108.346,108.814,-0.468,51.6,0,51.6,11.8,4,7.8,460,28643.6,-28183.6,328,29093,-28765,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,105.448,-0.002,105.3740015,105.4066472,-0.032645706,0.0006844579551,0.0003996088162,0.000284849139,3.402037412,119.9111704,-116.509133,27.6,4.8,22.8,105.446,105.448,-0.002,108.346,108.814,-0.468,51.6,0,51.6,11.8,4,7.8,460,28643.6,-28183.6,328,29093,-28765,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-Combinatorial,5,5,105.446,105.446,0,105.3740015,105.4107203,-0.036718748,0.0006844579551,0.0003378488098,0.0003466091453,3.402037412,10.29992034,-6.89788293,27.6,11.8,15.8,105.446,105.446,0,108.346,108.346,0,51.6,118.2,-66.6,11.8,13.2,-1.4,460,460,0,328,983.8,-655.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-SAA:fpp_base,5,5,105.446,105.446,0,105.3766725,105.446,-0.069327496,0.0006657279574,0,0.0006657279574,2.960101154,2.603938968,0.356162186,82,2.6,79.4,105.446,105.446,0,108.346,108.346,0,264.8,0,264.8,19.6,0,19.6,460,36360,-35900,365.8,14263.4,-13897.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-SAA:fpp_cut,5,5,105.446,105.462,-0.016,105.3766725,105.4075,-0.030827496,0.0006657279574,0.0005174818574,0.0001482461,2.960101154,8.105611694,-5.14551054,82,5.2,76.8,105.446,105.462,-0.016,108.346,108.4917778,-0.145777778,264.8,0,264.8,19.6,0,19.6,460,28643.6,-28183.6,365.8,42447,-42081.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders,5,5,105.446,105.446,0,105.3766725,105.3710859,0.005586572,0.0006657279574,0.0007167274189,-5.099946156e-05,2.960101154,7.54052618,-4.580425026,82,155.2,-73.2,105.446,105.446,0,108.346,108.346,0,264.8,1052.6,-787.8,19.6,27.8,-8.2,460,460,0,365.8,1053.6,-687.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-RootCuts,5,5,105.446,105.446,0,105.3766725,105.3605458,0.016126716,0.0006657279574,0.0008125513371,-0.0001468233797,2.960101154,7.830709208,-4.870608054,82,87.4,-5.4,105.446,105.446,0,108.346,108.346,0,264.8,974,-709.2,19.6,24.4,-4.8,460,460,0,365.8,1020.2,-654.4,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI,5,5,105.446,105.446,0,105.3766725,105.3766725,0,0.0006657279574,0.0006657279574,0,2.960101154,6.271321432,-3.311220278,82,82,0,105.446,105.446,0,108.346,108.346,0,264.8,264.8,0,19.6,19.6,0,460,460,0,365.8,365.8,0,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-RootCuts,5,5,105.446,105.446,0,105.3766725,105.3669277,0.009744838,0.0006657279574,0.0007391261337,-7.339817632e-05,2.960101154,4.865975112,-1.905873958,82,47.8,34.2,105.446,105.446,0,108.346,108.346,0,264.8,190.4,74.4,19.6,16.6,3,460,460,0,365.8,333,32.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI,5,5,105.446,105.446,0,105.3766725,105.3858018,-0.009129288,0.0006657279574,0.0005655202694,0.000100207688,2.960101154,25.81002403,-22.84992287,82,14.8,67.2,105.446,105.446,0,108.346,108.346,0,264.8,43,221.8,19.6,13.4,6.2,460,14501.8,-14041.8,365.8,14185.8,-13820,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,105.446,105.446,0,105.3766725,105.413181,-0.036508524,0.0006657279574,0.0003298840886,0.0003358438688,2.960101154,28.97733314,-26.01723199,82,10.8,71.2,105.446,105.446,0,108.346,108.346,0,264.8,23.8,241,19.6,11.4,8.2,460,14501.8,-14041.8,365.8,14181.6,-13815.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-PathLLBI,5,5,105.446,105.456,-0.01,105.3766725,105.4178967,-0.041224162,0.0006657279574,0.0003561067025,0.0003096212549,2.960101154,51.12148594,-48.16138479,82,6.6,75.4,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,264.8,0,264.8,19.6,4.8,14.8,460,14601.8,-14141.8,365.8,14851.2,-14485.4,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,105.446,105.456,-0.01,105.3766725,105.4178967,-0.041224162,0.0006657279574,0.0003561067025,0.0003096212549,2.960101154,37.52249654,-34.56239539,82,6.6,75.4,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,264.8,0,264.8,19.6,4.8,14.8,460,14601.8,-14141.8,365.8,14851.2,-14485.4,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,105.446,105.52,-0.074,105.3766725,105.2109779,0.16569459,0.0006657279574,0.00291161737,-0.002245889413,2.960101154,172.2329061,-169.272805,82,2.6,79.4,105.446,105.52,-0.074,108.346,108.9991111,-0.65311111,264.8,0,264.8,19.6,3.6,16,460,28643.6,-28183.6,365.8,28993,-28627.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,107.088,-1.642,105.3766725,105.3744224,0.002250144,0.0006657279574,0.01442388348,-0.01375815552,2.960101154,190.5920369,-187.6319358,82,4.2,77.8,105.446,107.088,-1.642,108.346,110.274,-1.928,264.8,0,264.8,19.6,3.8,15.8,460,28643.6,-28183.6,365.8,28993,-28627.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,105.446,105.448,-0.002,105.3766725,105.4066472,-0.02997473,0.0006657279574,0.0003996088162,0.0002661191412,2.960101154,163.1548011,-160.1947,82,4.8,77.2,105.446,105.448,-0.002,108.346,108.814,-0.468,264.8,0,264.8,19.6,4,15.6,460,28643.6,-28183.6,365.8,29093,-28727.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,105.448,-0.002,105.3766725,105.4066472,-0.02997473,0.0006657279574,0.0003996088162,0.0002661191412,2.960101154,119.9111704,-116.9510693,82,4.8,77.2,105.446,105.448,-0.002,108.346,108.814,-0.468,264.8,0,264.8,19.6,4,15.6,460,28643.6,-28183.6,365.8,29093,-28727.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-Combinatorial,5,5,105.446,105.446,0,105.3766725,105.4107203,-0.034047772,0.0006657279574,0.0003378488098,0.0003278791475,2.960101154,10.29992034,-7.339819188,82,11.8,70.2,105.446,105.446,0,108.346,108.346,0,264.8,118.2,146.6,19.6,13.2,6.4,460,460,0,365.8,983.8,-618,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-SAA:fpp_base,5,5,105.446,105.446,0,105.3669277,105.446,-0.079072334,0.0007391261337,0,0.0007391261337,2.970601752,2.603938968,0.366662784,47.8,2.6,45.2,105.446,105.446,0,108.346,108.346,0,190.4,0,190.4,16.6,0,16.6,460,36360,-35900,333,14263.4,-13930.4,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-SAA:fpp_cut,5,5,105.446,105.462,-0.016,105.3669277,105.4075,-0.040572334,0.0007391261337,0.0005174818574,0.0002216442763,2.970601752,8.105611694,-5.135009942,47.8,5.2,42.6,105.446,105.462,-0.016,108.346,108.4917778,-0.145777778,190.4,0,190.4,16.6,0,16.6,460,28643.6,-28183.6,333,42447,-42114,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders,5,5,105.446,105.446,0,105.3669277,105.3710859,-0.004158266,0.0007391261337,0.0007167274189,2.239871476e-05,2.970601752,7.54052618,-4.569924428,47.8,155.2,-107.4,105.446,105.446,0,108.346,108.346,0,190.4,1052.6,-862.2,16.6,27.8,-11.2,460,460,0,333,1053.6,-720.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-RootCuts,5,5,105.446,105.446,0,105.3669277,105.3605458,0.006381878,0.0007391261337,0.0008125513371,-7.34252034e-05,2.970601752,7.830709208,-4.860107456,47.8,87.4,-39.6,105.446,105.446,0,108.346,108.346,0,190.4,974,-783.6,16.6,24.4,-7.8,460,460,0,333,1020.2,-687.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-LLBI,5,5,105.446,105.446,0,105.3669277,105.3766725,-0.009744838,0.0007391261337,0.0006657279574,7.339817632e-05,2.970601752,6.271321432,-3.30071968,47.8,82,-34.2,105.446,105.446,0,108.346,108.346,0,190.4,264.8,-74.4,16.6,19.6,-3,460,460,0,333,365.8,-32.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-LLBI-RootCuts,5,5,105.446,105.446,0,105.3669277,105.3669277,0,0.0007391261337,0.0007391261337,0,2.970601752,4.865975112,-1.89537336,47.8,47.8,0,105.446,105.446,0,108.346,108.346,0,190.4,190.4,0,16.6,16.6,0,460,460,0,333,333,0,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CoverageLLBI,5,5,105.446,105.446,0,105.3669277,105.3858018,-0.018874126,0.0007391261337,0.0005655202694,0.0001736058643,2.970601752,25.81002403,-22.83942228,47.8,14.8,33,105.446,105.446,0,108.346,108.346,0,190.4,43,147.4,16.6,13.4,3.2,460,14501.8,-14041.8,333,14185.8,-13852.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,105.446,105.446,0,105.3669277,105.413181,-0.046253362,0.0007391261337,0.0003298840886,0.0004092420451,2.970601752,28.97733314,-26.00673139,47.8,10.8,37,105.446,105.446,0,108.346,108.346,0,190.4,23.8,166.6,16.6,11.4,5.2,460,14501.8,-14041.8,333,14181.6,-13848.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-PathLLBI,5,5,105.446,105.456,-0.01,105.3669277,105.4178967,-0.050969,0.0007391261337,0.0003561067025,0.0003830194312,2.970601752,51.12148594,-48.15088419,47.8,6.6,41.2,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,190.4,0,190.4,16.6,4.8,11.8,460,14601.8,-14141.8,333,14851.2,-14518.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,105.446,105.456,-0.01,105.3669277,105.4178967,-0.050969,0.0007391261337,0.0003561067025,0.0003830194312,2.970601752,37.52249654,-34.55189479,47.8,6.6,41.2,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,190.4,0,190.4,16.6,4.8,11.8,460,14601.8,-14141.8,333,14851.2,-14518.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,105.446,105.52,-0.074,105.3669277,105.2109779,0.155949752,0.0007391261337,0.00291161737,-0.002172491237,2.970601752,172.2329061,-169.2623044,47.8,2.6,45.2,105.446,105.52,-0.074,108.346,108.9991111,-0.65311111,190.4,0,190.4,16.6,3.6,13,460,28643.6,-28183.6,333,28993,-28660,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,107.088,-1.642,105.3669277,105.3744224,-0.007494694,0.0007391261337,0.01442388348,-0.01368475734,2.970601752,190.5920369,-187.6214352,47.8,4.2,43.6,105.446,107.088,-1.642,108.346,110.274,-1.928,190.4,0,190.4,16.6,3.8,12.8,460,28643.6,-28183.6,333,28993,-28660,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,105.446,105.448,-0.002,105.3669277,105.4066472,-0.039719568,0.0007391261337,0.0003996088162,0.0003395173175,2.970601752,163.1548011,-160.1841994,47.8,4.8,43,105.446,105.448,-0.002,108.346,108.814,-0.468,190.4,0,190.4,16.6,4,12.6,460,28643.6,-28183.6,333,29093,-28760,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,105.448,-0.002,105.3669277,105.4066472,-0.039719568,0.0007391261337,0.0003996088162,0.0003395173175,2.970601752,119.9111704,-116.9405687,47.8,4.8,43,105.446,105.448,-0.002,108.346,108.814,-0.468,190.4,0,190.4,16.6,4,12.6,460,28643.6,-28183.6,333,29093,-28760,,,
0.01,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-Combinatorial,5,5,105.446,105.446,0,105.3669277,105.4107203,-0.04379261,0.0007391261337,0.0003378488098,0.0004012773239,2.970601752,10.29992034,-7.32931859,47.8,11.8,36,105.446,105.446,0,108.346,108.346,0,190.4,118.2,72.2,16.6,13.2,3.4,460,460,0,333,983.8,-650.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-SAA:fpp_base,5,5,105.446,105.446,0,105.3906674,105.446,-0.055332646,0.0005254992954,0,0.0005254992954,1.800885718,2.603938968,-0.80305325,14.4,2.6,11.8,105.446,105.446,0,108.346,108.346,0,14.6,0,14.6,7.6,0,7.6,460,36360,-35900,275,14263.4,-13988.4,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-SAA:fpp_cut,5,5,105.446,105.462,-0.016,105.3906674,105.4075,-0.016832646,0.0005254992954,0.0005174818574,8.01743806e-06,1.800885718,8.105611694,-6.304725976,14.4,5.2,9.2,105.446,105.462,-0.016,108.346,108.4917778,-0.145777778,14.6,0,14.6,7.6,0,7.6,460,28643.6,-28183.6,275,42447,-42172,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders,5,5,105.446,105.446,0,105.3906674,105.3710859,0.019581422,0.0005254992954,0.0007167274189,-0.0001912281235,1.800885718,7.54052618,-5.739640462,14.4,155.2,-140.8,105.446,105.446,0,108.346,108.346,0,14.6,1052.6,-1038,7.6,27.8,-20.2,460,460,0,275,1053.6,-778.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-RootCuts,5,5,105.446,105.446,0,105.3906674,105.3605458,0.030121566,0.0005254992954,0.0008125513371,-0.0002870520417,1.800885718,7.830709208,-6.02982349,14.4,87.4,-73,105.446,105.446,0,108.346,108.346,0,14.6,974,-959.4,7.6,24.4,-16.8,460,460,0,275,1020.2,-745.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-LLBI,5,5,105.446,105.446,0,105.3906674,105.3766725,0.01399485,0.0005254992954,0.0006657279574,-0.0001402286619,1.800885718,6.271321432,-4.470435714,14.4,82,-67.6,105.446,105.446,0,108.346,108.346,0,14.6,264.8,-250.2,7.6,19.6,-12,460,460,0,275,365.8,-90.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-LLBI-RootCuts,5,5,105.446,105.446,0,105.3906674,105.3669277,0.023739688,0.0005254992954,0.0007391261337,-0.0002136268383,1.800885718,4.865975112,-3.065089394,14.4,47.8,-33.4,105.446,105.446,0,108.346,108.346,0,14.6,190.4,-175.8,7.6,16.6,-9,460,460,0,275,333,-58,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI,5,5,105.446,105.446,0,105.3906674,105.3858018,0.004865562,0.0005254992954,0.0005655202694,-4.002097394e-05,1.800885718,25.81002403,-24.00913831,14.4,14.8,-0.4,105.446,105.446,0,108.346,108.346,0,14.6,43,-28.4,7.6,13.4,-5.8,460,14501.8,-14041.8,275,14185.8,-13910.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,5,105.446,105.446,0,105.3906674,105.413181,-0.022513674,0.0005254992954,0.0003298840886,0.0001956152068,1.800885718,28.97733314,-27.17644742,14.4,10.8,3.6,105.446,105.446,0,108.346,108.346,0,14.6,23.8,-9.2,7.6,11.4,-3.8,460,14501.8,-14041.8,275,14181.6,-13906.6,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-PathLLBI,5,5,105.446,105.456,-0.01,105.3906674,105.4178967,-0.027229312,0.0005254992954,0.0003561067025,0.000169392593,1.800885718,51.12148594,-49.32060022,14.4,6.6,7.8,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,14.6,0,14.6,7.6,4.8,2.8,460,14601.8,-14141.8,275,14851.2,-14576.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-PathLLBI-RootCuts,5,5,105.446,105.456,-0.01,105.3906674,105.4178967,-0.027229312,0.0005254992954,0.0003561067025,0.000169392593,1.800885718,37.52249654,-35.72161083,14.4,6.6,7.8,105.446,105.456,-0.01,108.346,109.4751111,-1.12911111,14.6,0,14.6,7.6,4.8,2.8,460,14601.8,-14141.8,275,14851.2,-14576.2,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,105.446,105.52,-0.074,105.3906674,105.2109779,0.17968944,0.0005254992954,0.00291161737,-0.002386118075,1.800885718,172.2329061,-170.4320204,14.4,2.6,11.8,105.446,105.52,-0.074,108.346,108.9991111,-0.65311111,14.6,0,14.6,7.6,3.6,4,460,28643.6,-28183.6,275,28993,-28718,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,107.088,-1.642,105.3906674,105.3744224,0.016244994,0.0005254992954,0.01442388348,-0.01389838418,1.800885718,190.5920369,-188.7911512,14.4,4.2,10.2,105.446,107.088,-1.642,108.346,110.274,-1.928,14.6,0,14.6,7.6,3.8,3.8,460,28643.6,-28183.6,275,28993,-28718,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,105.446,105.448,-0.002,105.3906674,105.4066472,-0.01597988,0.0005254992954,0.0003996088162,0.0001258904793,1.800885718,163.1548011,-161.3539154,14.4,4.8,9.6,105.446,105.448,-0.002,108.346,108.814,-0.468,14.6,0,14.6,7.6,4,3.6,460,28643.6,-28183.6,275,29093,-28818,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,105.446,105.448,-0.002,105.3906674,105.4066472,-0.01597988,0.0005254992954,0.0003996088162,0.0001258904793,1.800885718,119.9111704,-118.1102847,14.4,4.8,9.6,105.446,105.448,-0.002,108.346,108.814,-0.468,14.6,0,14.6,7.6,4,3.6,460,28643.6,-28183.6,275,29093,-28818,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-Combinatorial,5,5,105.446,105.446,0,105.3906674,105.4107203,-0.020052922,0.0005254992954,0.0003378488098,0.0001876504856,1.800885718,10.29992034,-8.499034624,14.4,11.8,2.6,105.446,105.446,0,108.346,108.346,0,14.6,118.2,-103.6,7.6,13.2,-5.6,460,460,0,275,983.8,-708.8,,,
0.01,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,ProjectedPathLLBI-exp,exp,true,FPP-SAA:fpp_base,5,5,105.446,105.446,0,105.3906674,105.446,-0.055332646,0.0005254992954,0,0.0005254992954,2.2948313,2.603938968,-0.309107668,14.4,2.6,11.8,105.446,105.446,0,108.346,108.346,0,14.6,0,14.6,7.6,0,7.6,460,36360,-35900,275,14263.4,-13988.4,,,
