alpha,objective_family,projected_method,projected_variant,projected_llbi_strategy,projected_use_root_cuts,baseline_category,projected_rows,baseline_rows,projected_avg_objective_metric,baseline_avg_objective_metric,delta_objective_metric,projected_avg_best_bound,baseline_avg_best_bound,delta_best_bound,projected_avg_gap_metric,baseline_avg_gap_metric,delta_gap_metric,projected_avg_runtime_metric,baseline_avg_runtime_metric,delta_runtime_metric,projected_avg_explored_nodes,baseline_avg_explored_nodes,delta_explored_nodes,projected_avg_train_expected_burned_area,baseline_avg_train_expected_burned_area,delta_train_expected_burned_area,projected_avg_test_expected_burned_area,baseline_avg_test_expected_burned_area,delta_test_expected_burned_area,projected_avg_branch_benders_lazy_cuts_added,baseline_avg_branch_benders_lazy_cuts_added,delta_branch_benders_lazy_cuts_added,projected_avg_branch_benders_candidate_incumbents_checked,baseline_avg_branch_benders_candidate_incumbents_checked,delta_branch_benders_candidate_incumbents_checked,projected_avg_num_variables,baseline_avg_num_variables,delta_num_variables,projected_avg_num_constraints,baseline_avg_num_constraints,delta_num_constraints,projected_avg_num_nonzeros,baseline_avg_num_nonzeros,delta_num_nonzeros
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,5,223.88,281.04,-57.16,223.6690253,-6e+74,6e+74,0.0009432226767,0.1003022204,-0.09935899774,8.245294632,302.6003178,-294.3550232,1949.4,34,1915.4,111.514,128.41,-16.896,113.5306667,126.2255556,-12.69488889,73.2,0,73.2,23,2,21,561,28744.6,-28183.6,324.6,29093,-28768.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,226.94,-3.06,223.6690253,205.0367918,18.63223352,0.0009432226767,0.09649713795,-0.09555391527,8.245294632,301.8138987,-293.5686041,1949.4,42,1907.4,111.514,109.976,1.538,113.5306667,111.8466667,1.683999998,73.2,0,73.2,23,4,19,561,28744.6,-28183.6,324.6,29093,-28768.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,5,223.88,226.44,-2.56,223.6690253,208.3351458,15.33387953,0.0009432226767,0.08005794521,-0.07911472254,8.245294632,301.6086788,-293.3633842,1949.4,67.8,1881.6,111.514,110.89,0.624,113.5306667,113.73,-0.199333336,73.2,0,73.2,23,4.2,18.8,561,28744.6,-28183.6,324.6,29193,-28868.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,5,223.88,245.48,-21.6,223.6690253,207.344042,16.32498326,0.0009432226767,0.1396686143,-0.1387253916,8.245294632,301.6465244,-293.4012298,1949.4,51.8,1897.6,111.514,116.822,-5.308,113.5306667,118.0795556,-4.548888892,73.2,0,73.2,23,3.6,19.4,561,28744.6,-28183.6,324.6,29193,-28868.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-Combinatorial,5,5,223.88,223.88,0,223.6690253,223.6779028,-0.00887749,0.0009432226767,0.0009028042152,4.041846144e-05,8.245294632,132.5955063,-124.3502117,1949.4,1158.4,791,111.514,111.514,0,113.5306667,113.5306667,0,73.2,85,-11.8,23,16,7,561,561,0,324.6,2977.6,-2653,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-SAA:fpp_base,5,5,223.88,224.08,-0.2,223.6822556,221.4755425,2.206713106,0.0008839243435,0.01111400097,-0.01023007662,6.808923122,193.9217267,-187.1128036,1943.8,1260.8,683,111.514,111.746,-0.232,113.5306667,113.4906667,0.04,58.6,0,58.6,18.4,0,18.4,561,36461,-35900,326.8,14363.4,-14036.6,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-SAA:fpp_cut,5,5,223.88,224.98,-1.1,223.6822556,210.4298458,13.25240983,0.0008839243435,0.06440510594,-0.0635211816,6.808923122,300.0381156,-293.2291924,1943.8,277.2,1666.6,111.514,110.038,1.476,113.5306667,112.9537778,0.576888888,58.6,0,58.6,18.4,0,18.4,561,28744.6,-28183.6,326.8,42547,-42220.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders,5,5,223.88,223.88,0,223.6822556,223.6684022,0.013853414,0.0008839243435,0.0009455973155,-6.167297194e-05,6.808923122,6.48959104,0.319332082,1943.8,2686.6,-742.8,111.514,111.514,0,113.5306667,113.5306667,0,58.6,969.2,-910.6,18.4,29.4,-11,561,561,0,326.8,1070.2,-743.4,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-RootCuts,5,5,223.88,223.88,0,223.6822556,223.6657007,0.016554952,0.0008839243435,0.0009569257212,-7.300137772e-05,6.808923122,8.372967326,-1.564044204,1943.8,2819.6,-875.8,111.514,111.514,0,113.5306667,113.5306667,0,58.6,951,-892.4,18.4,26.8,-8.4,561,561,0,326.8,1081,-754.2,,,
0.01,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-LLBI,5,5,223.88,223.88,0,223.6822556,223.6739707,0.008284896,0.0008839243435,0.0009211255032,-3.720115968e-05,6.808923122,9.995532844,-3.186609722,1943.8,2365,-421.2,111.514,111.514,0,113.5306667,113.5306667,0,58.6,138.2,-79.6,18.4,23.8,-5.4,561,561,0,326.8,339.2,-12.4,,,
