alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_projected_llbi_cuts_added,min_projected_llbi_cuts_added,max_projected_llbi_cuts_added,avg_projected_llbi_coverage_cuts_added,min_projected_llbi_coverage_cuts_added,max_projected_llbi_coverage_cuts_added,avg_projected_llbi_path_cuts_added,min_projected_llbi_path_cuts_added,max_projected_llbi_path_cuts_added,avg_projected_llbi_total_nonzeros,min_projected_llbi_total_nonzeros,max_projected_llbi_total_nonzeros,avg_projected_llbi_avg_nonzeros_per_cut,min_projected_llbi_avg_nonzeros_per_cut,max_projected_llbi_avg_nonzeros_per_cut,avg_projected_llbi_max_nonzeros_per_cut,min_projected_llbi_max_nonzeros_per_cut,max_projected_llbi_max_nonzeros_per_cut,avg_projected_llbi_separation_time_sec,min_projected_llbi_separation_time_sec,max_projected_llbi_separation_time_sec,avg_projected_llbi_total_time_sec,min_projected_llbi_total_time_sec,max_projected_llbi_total_time_sec,avg_projected_llbi_root_bound_improvement_abs,min_projected_llbi_root_bound_improvement_abs,max_projected_llbi_root_bound_improvement_abs,avg_projected_llbi_root_bound_improvement_pct,min_projected_llbi_root_bound_improvement_pct,max_projected_llbi_root_bound_improvement_pct
0.01,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,14.6,1,61,7.6,4,15,259.4,202,295,0,0,0,259.4,202,295,42875.6,30469,51853,164.1081678,150.8366337,175.7728814,345.2,327,353,0.525534924,0.40663523,0.66885939,0.618105802,0.48279377,0.79645144,105.0610667,96.79666667,110.6966667,10506.10667,9679.666667,11069.66667
0.01,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,271.4,196,420,22.8,17,36,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,144,100,279,16.6,13,29,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Optimal:5,110.6,52,189,17,11,23,164.4,153,179,164.4,153,179,0,0,0,28708.4,24975,32168,174.4713337,158.0696203,184.124183,345.2,327,353,1.625392008,1.14429436,1.95951434,1.717232774,1.21083585,2.09360904,155.3120526,146.265609,162.1718398,15531.20526,14626.5609,16217.18398
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,98.6,42,165,17.2,10,25,164.4,153,179,164.4,153,179,0,0,0,28708.4,24975,32168,174.4713337,158.0696203,184.124183,345.2,327,353,1.779756882,1.64530801,1.98875875,1.890768992,1.7758081,2.08997281,155.3120526,146.265609,162.1718398,15531.20526,14626.5609,16217.18398
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Optimal:5,283.2,115,517,21.8,14,30,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,196.2,66,422,18.8,10,35,100,100,100,100,100,100,0,0,0,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Optimal:5,74,25,111,15.2,7,22,181.2,156,219,0,0,0,181.2,156,219,32077.4,26258,40274,176.1387109,159.1393939,185.3173077,345.2,327,353,0.52730261,0.422733,0.61843486,0.639409742,0.51685313,0.7727323,155.8585186,146.5082988,162.5845189,15585.85186,14650.82988,16258.45189
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,74,25,111,15.2,7,22,181.2,156,219,0,0,0,181.2,156,219,32077.4,26258,40274,176.1387109,159.1393939,185.3173077,345.2,327,353,0.514802174,0.31758114,0.63547476,0.62091853,0.37350621,0.75314322,155.8585186,146.5082988,162.5845189,15585.85186,14650.82988,16258.45189
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Optimal:5,213.4,100,281,21.4,18,30,100,100,100,0,0,0,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0
