source,task_id,alpha,case_id,objective_family,method,status,runtime_seconds,time_limit,objective,best_bound,reported_mip_gap,solver_mip_gap,calculated_gap,gap_excluded_reason
previous,worker_00_task_019,0.01,case00,CVaR,FPP-Branch-Benders-RootCuts,Optimal,4.25303563,300,226,225.77521385,0.001,,0.0009946289823,
previous,worker_00_task_043,0.01,case00,CVaR,FPP-Branch-Benders-Combinatorial,Optimal,89.59241544,300,226,225.83480441,0.001,,0.0007309539381,
previous,worker_00_task_002,0.01,case00,CVaR,FPP-SAA-fpp_base,Optimal,204.17949399,300,226,225.79110451,0.001,,0.0009243163274,
previous,worker_00_task_003,0.01,case00,CVaR,FPP-SAA-fpp_cut,Feasible,300.04564771,300,227.9,215.76648341,0.001,,0.05324052914,
previous,worker_00_task_006,0.01,case00,Expected,FPP-Branch-Benders,Optimal,7.09570072,300,102.72,102.62000000,0.001,,0.0009735202492,
previous,worker_00_task_010,0.01,case00,Expected,FPP-Branch-Benders-CoverageLLBI,Optimal,24.05507126,300,102.72,102.62697368,0.001,,0.0009056300623,
previous,worker_00_task_014,0.01,case00,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI,Optimal,213.21139406,300,102.72,102.66600000,0.001,,0.0005257009346,
previous,worker_00_task_015,0.01,case00,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,Optimal,263.87653831,300,102.72,102.66600000,0.001,,0.0005257009346,
previous,worker_00_task_011,0.01,case00,Expected,FPP-Branch-Benders-CoverageLLBI-RootCuts,Optimal,11.91473268,300,102.72,102.64840514,0.001,,0.0006969904595,
previous,worker_00_task_008,0.01,case00,Expected,FPP-Branch-Benders-LLBI,Optimal,3.18485600,300,102.72,102.65969362,0.001,,0.0005870948209,
previous,worker_00_task_016,0.01,case00,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,Optimal,98.56578077,300,102.72,102.66701365,0.001,,0.0005158328466,
previous,worker_00_task_017,0.01,case00,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,Optimal,73.70093746,300,102.72,102.66701365,0.001,,0.0005158328466,
previous,worker_00_task_009,0.01,case00,Expected,FPP-Branch-Benders-LLBI-RootCuts,Optimal,1.94720214,300,102.72,102.62206423,0.001,,0.0009534245522,
