alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_objective_metric,min_objective_metric,max_objective_metric,avg_best_bound,min_best_bound,max_best_bound,avg_gap_metric,min_gap_metric,max_gap_metric,avg_runtime_metric,min_runtime_metric,max_runtime_metric,avg_explored_nodes,min_explored_nodes,max_explored_nodes,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_train_worst10_metric,min_train_worst10_metric,max_train_worst10_metric,avg_test_worst10_metric,min_test_worst10_metric,max_test_worst10_metric
0.01,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,105.448,97.12,110.95,105.3737477,97.03393628,110.8395847,0.0007087471793,0.0002246331227,0.0009951805318,2.985768252,2.19653416,4.33693425,37,14,95,105.448,97.12,110.95,108.814,106.6788889,112.5233333,248.68,238.4,263.3,254.2466667,247.6777778,261.7
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Optimal:5,166.888,157.565,174.72,166.7286038,157.4110766,174.5597482,0.0009558857392,0.000917192136,0.0009768883953,5.83591851,4.46933415,7.72969624,1253.8,455,1899,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.738714,157.4078751,174.5603984,0.0008950627461,0.0006388547823,0.0009972066766,6.782277898,5.57291626,9.91166713,1449.8,458,1912,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Optimal:5,166.888,157.565,174.72,166.7256755,157.4126822,174.5559865,0.0009729409079,0.0009387219551,0.000999756338,5.257673228,2.7052876,8.17545965,1841.8,513,2693,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7314334,157.4146999,174.5566957,0.0009378880691,0.0008967695091,0.0009844949288,6.943079726,3.82955151,12.18248962,1633.2,345,3084,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp,5,Optimal:5,166.888,157.565,174.72,166.7346063,157.4223479,174.5520445,0.0009198221124,0.0007879049325,0.0009832921843,4.337713972,2.45086812,6.03956372,1223,599,1615,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7346063,157.4223479,174.5520445,0.0009198221124,0.0007879049325,0.0009832921843,3.796081548,2.56550687,4.40520833,1223,599,1615,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly,5,Optimal:5,166.888,157.565,174.72,166.7308109,157.4142711,174.5472689,0.0009429481185,0.0007943864536,0.0009886163576,6.295325024,3.37299141,9.87100481,1608,527,2192,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.01,MeanCVaR,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7312291,157.4203739,174.5483184,0.0009390202578,0.0009097437513,0.000982610119,5.377019328,2.71090663,8.52467391,1324.2,435,1781,108.216,100.83,117.57,111.9693333,110.3222222,115.8411111,225.56,214.3,238.1,253.8266667,246.4888889,265.1888889
0.02,CVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp,5,Feasible:4;Optimal:1,165.82,154.6,175.3,159.4208409,152.615295,165.5122491,0.03733346121,0.0009968792367,0.06869741409,275.9509769,170.7456175,302.6633998,93577.6,82737,119041,89.67,81.25,97.51,95.048,93.22111111,97.36444444,165.82,154.6,175.3,216.7444444,210.9888889,221.4888889
