objective,method,rows,status,avg_obj,avg_gap_pct,avg_runtime,avg_test_exp,avg_test_tail,avg_nodes,avg_lazy_cuts,avg_proj_cuts,avg_vars,avg_cons
Expected,ExtPath,10,Optimal:10,94.106,0.1,61.834643218,101.14266666500001,234.254444444,22.8,0.0,,14601.8,14851.2
Expected,ExtPath-Root,10,Optimal:10,94.106,0.1,55.945663958,101.14266666500001,234.254444444,22.8,0.0,,14601.8,14851.2
Expected,LLBI,10,Optimal:10,94.101,0.1,58.533191857999995,100.57811111,233.565555556,9487.1,1517.3,,460.0,1618.3
Expected,LLBI-Root,10,Optimal:10,94.101,0.1,39.936857582,100.57811111,233.565555556,6371.6,1070.2,,460.0,1225.0
Expected,ProjCoverage-exp,10,Optimal:10,94.101,0.08448839999999999,5.865239466,100.57811111,233.565555556,496.3,156.5,388.4,460.0,545.9
Expected,ProjCoverage-exp-Root,10,Optimal:10,94.101,0.0832385,5.626700189,100.57811111,233.565555556,441.4,111.8,388.4,460.0,529.1
Expected,ProjCoverage-poly,10,Optimal:10,94.101,0.0831252,72.133451068,100.57811111,233.565555556,9487.1,1517.3,100.0,460.0,1618.3
Expected,ProjCoverage-poly-Root,10,Optimal:10,94.101,0.0867649,29.71533949,100.57811111,233.565555556,6371.6,1070.2,100.0,460.0,1225.0
Expected,ProjPath-exp,10,Optimal:10,94.101,0.0700982,3.442542747,100.57811111,233.565555556,221.0,71.6,389.0,460.0,461.6
Expected,ProjPath-exp-Root,10,Optimal:10,94.101,0.0704801,3.361842555,100.57811111,233.565555556,211.8,71.1,389.0,460.0,466.3
Expected,ProjPath-poly,10,Optimal:10,94.101,0.0713669,32.23032352,100.57811111,233.565555556,7961.6,1448.6,100.0,460.0,1549.6
Expected,ProjPath-poly-Root,10,Optimal:10,94.102,0.0851123,22.358799438,100.81211111,234.27555555600003,5919.6,1045.9,100.0,460.0,1198.4
Expected,SAA-base,10,Optimal:10,94.101,0.1,11.453647978,100.57811111,233.565555556,18.7,0.0,,36360.0,14263.4
Expected,SAA-cut,10,Optimal:10,94.10900000000001,0.1,27.638353367,100.65099999899999,233.395555556,28.0,0.0,,28643.6,42447.0
MeanCVaR,BB,10,Feasible:5;Optimal:5,148.24349999999998,0.1,154.35587615900002,103.486222221,235.187777777,28806.9,3098.6,,561.0,3199.6
MeanCVaR,BB-Root,10,Feasible:5;Optimal:5,147.3885,0.1,154.43265040400001,103.097666667,235.415555556,46119.8,2532.3,,561.0,2681.2
MeanCVaR,CombBB,10,Feasible:5;Optimal:5,148.5525,0.1,182.26537736,102.97233333199999,235.01666666699998,513.4,161.6,,561.0,12209.7
MeanCVaR,ExtCoverage,10,Feasible:8;Optimal:2,147.332,0.1,278.409382647,103.09733333300001,234.76666666699998,451.2,36.6,,14602.8,14279.4
MeanCVaR,ExtCoverage-Root,10,Feasible:9;Optimal:1,147.517,0.1,282.471040727,103.303666666,234.061111111,326.2,23.3,,14602.8,14291.3
MeanCVaR,ExtPath,10,Feasible:6;Optimal:4,147.322,0.1,254.21253514,102.78622222199999,233.82,384.3,0.0,,14702.8,14951.2
MeanCVaR,ExtPath-Root,10,Feasible:7;Optimal:3,147.322,0.1,258.948059095,102.78622222199999,233.82,404.7,0.0,,14702.8,14951.2
MeanCVaR,LLBI,10,Feasible:5;Optimal:5,146.981,0.1,154.168968623,102.653555554,234.27888888899997,44019.5,1436.7,,561.0,1637.7
MeanCVaR,LLBI-Root,10,Feasible:5;Optimal:5,146.89249999999998,0.1,154.184348579,102.949333332,235.0,43959.9,1353.9,,561.0,1605.5
MeanCVaR,ProjCoverage-exp,10,Feasible:3;Optimal:7,146.8465,0.7662321,130.3879854,102.98855555499999,234.806666667,36961.2,469.9,293.2,561.0,864.1
MeanCVaR,ProjCoverage-exp-Root,10,Feasible:4;Optimal:6,146.8465,0.7522411,138.747577944,102.98855555499999,234.806666667,44079.6,485.6,293.2,561.0,908.5
MeanCVaR,ProjCoverage-poly,10,Feasible:5;Optimal:5,147.00650000000002,2.6101099,152.89535451700002,102.67855555399998,234.264444444,45286.0,1453.7,100.0,561.0,1654.7
MeanCVaR,ProjCoverage-poly-Root,10,Feasible:5;Optimal:5,146.89249999999998,1.8683196,153.75935297799998,102.949333332,235.0,50431.3,1359.8,100.0,561.0,1611.4
MeanCVaR,ProjPath-exp,10,Feasible:2;Optimal:8,146.8465,0.4745461,107.801832394,102.98855555499999,234.806666667,37229.9,378.6,301.9,561.0,781.5
MeanCVaR,ProjPath-exp-Root,10,Feasible:2;Optimal:8,146.874,0.4111906,96.00426958300001,103.404222222,234.71777777799997,37497.1,348.9,301.9,561.0,755.4
MeanCVaR,ProjPath-poly,10,Feasible:5;Optimal:5,146.935,2.0633842,153.42317011699998,102.69277777699999,234.085555556,50738.6,1272.9,100.0,561.0,1473.9
MeanCVaR,ProjPath-poly-Root,10,Feasible:5;Optimal:5,146.9765,1.7098759999999997,152.959401146,103.29244444399998,235.044444445,54109.1,1219.4,100.0,561.0,1466.7
MeanCVaR,SAA-base,10,Feasible:5;Optimal:5,148.135,0.1,220.08694317600003,103.85211110999998,235.160000001,691.0,0.0,,36461.0,14363.4
MeanCVaR,SAA-cut,10,Feasible:9;Optimal:1,147.324,0.1,289.514979866,102.98055555599998,234.442222222,265.7,0.0,,28744.6,42547.0
