alpha,objective,version,rows,status,avg_obj,avg_gap_pct,avg_runtime_s,avg_test_exp,avg_test_tail,avg_nodes,avg_vars,avg_cons
0.01,CVaR,FPP-Branch-Benders,5,Optimal:5,223.88000000000002,0.1,6.4895910400000005,113.530666666,256.90222222399996,2686.6,561.0,1070.2
0.01,CVaR,FPP-Branch-Benders-Combinatorial,5,Optimal:5,223.88000000000002,0.1,132.59550634800001,113.530666666,256.90222222399996,1158.4,561.0,2977.6
0.01,CVaR,FPP-Branch-Benders-CoverageLLBI,5,Feasible:4;Optimal:1,225.6,0.1,282.66171041999996,113.856444444,257.20222222399997,461.6,14602.8,14253.4
0.01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,5,Feasible:5,281.03999999999996,0.1,302.600317806,126.22555555599999,285.56,34.0,28744.6,29093.0
0.01,CVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,5,Feasible:5,226.94,0.1,301.813898738,111.84666666800001,255.54444444400002,42.0,28744.6,29093.0
0.01,CVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,5,Feasible:4;Optimal:1,225.38000000000002,0.1,293.70573260599997,111.98177777800001,253.69111111,448.4,14602.8,14257.8
0.01,CVaR,FPP-Branch-Benders-LLBI,5,Optimal:5,223.88000000000002,0.1,9.995532844,113.530666666,256.90222222399996,2365.0,561.0,339.2
0.01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,5,Feasible:5,226.44,0.1,301.608678832,113.730000002,257.544444444,67.8,28744.6,29193.0
0.01,CVaR,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,5,Feasible:5,245.48000000000002,0.1,301.64652441600003,118.079555558,267.244444444,51.8,28744.6,29193.0
0.01,CVaR,FPP-Branch-Benders-LLBI-RootCuts,5,Optimal:5,223.88000000000002,0.1,9.817455835999999,113.530666666,256.90222222399996,2541.8,561.0,351.8
0.01,CVaR,FPP-Branch-Benders-PathLLBI,5,Feasible:4;Optimal:1,225.74,0.1,273.81321277399996,111.42888889000001,253.742222222,542.0,14702.8,14951.2
0.01,CVaR,FPP-Branch-Benders-PathLLBI-RootCuts,5,Feasible:4;Optimal:1,225.74,0.1,278.989095026,111.42888889000001,253.742222222,532.4,14702.8,14951.2
0.01,CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp,5,Optimal:5,223.88000000000002,0.0943222,8.245294632,113.530666666,256.90222222399996,1949.4,561.0,324.6
0.01,CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,223.88000000000002,0.0883924,6.808923122,113.530666666,256.90222222399996,1943.8,561.0,326.8
0.01,CVaR,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,223.88000000000002,0.09211259999999999,6.480697782,113.530666666,256.90222222399996,2365.0,561.0,339.2
