objective,version,rows,status,avg_obj,avg_gap_pct,avg_runtime_s,avg_test_exp,avg_test_tail,avg_nodes,avg_vars,avg_cons
Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,10,Optimal:10,94.101,0.0832385,5.626700189,100.57811111,233.565555556,441.4,460.0,529.1
Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,10,Optimal:10,94.101,0.0831252,72.133451068,100.57811111,233.565555556,9487.1,460.0,1618.3
Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,10,Optimal:10,94.101,0.0867649,29.71533949,100.57811111,233.565555556,6371.6,460.0,1225.0
Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp,10,Optimal:10,94.101,0.0700982,3.442542747,100.57811111,233.565555556,221.0,460.0,461.6
Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,10,Optimal:10,94.101,0.0704801,3.361842555,100.57811111,233.565555556,211.8,460.0,466.3
Expected,FPP-Branch-Benders-ProjectedPathLLBI-poly,10,Optimal:10,94.101,0.0713669,32.23032352,100.57811111,233.565555556,7961.6,460.0,1549.6
Expected,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,10,Optimal:10,94.102,0.0851123,22.358799438,100.81211111,234.27555555600003,5919.6,460.0,1198.4
Expected,FPP-Branch-Benders-RootCuts,10,Feasible:1;Optimal:9,94.103,0.1,71.41754672100001,100.568444444,233.391111112,8001.9,460.0,2353.7
Expected,FPP-SAA-fpp_base,10,Optimal:10,94.101,0.1,11.453647978,100.57811111,233.565555556,18.7,36360.0,14263.4
Expected,FPP-SAA-fpp_cut,10,Optimal:10,94.10900000000001,0.1,27.638353367,100.65099999899999,233.395555556,28.0,28643.6,42447.0
MeanCVaR,FPP-Branch-Benders,10,Feasible:5;Optimal:5,148.24349999999998,0.1,154.35587615900002,103.486222221,235.187777777,28806.9,561.0,3199.6
MeanCVaR,FPP-Branch-Benders-Combinatorial,10,Feasible:5;Optimal:5,148.5525,0.1,182.26537736,102.97233333199999,235.01666666699998,513.4,561.0,12209.7
MeanCVaR,FPP-Branch-Benders-CoverageLLBI,10,Feasible:8;Optimal:2,147.332,0.1,278.409382647,103.09733333300001,234.76666666699998,451.2,14602.8,14279.4
MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI,10,Feasible:10,161.63150000000002,0.1,301.353556816,108.07644444600001,245.12777777699998,62.8,28744.6,29093.0
MeanCVaR,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,10,Feasible:10,148.6615,0.1,301.307576423,103.043444446,233.94222222099998,40.1,28744.6,29093.0
MeanCVaR,FPP-Branch-Benders-CoverageLLBI-RootCuts,10,Feasible:9;Optimal:1,147.517,0.1,282.471040727,103.303666666,234.061111111,326.2,14602.8,14291.3
