alpha,objective_family,projected_variant,projected_llbi_strategy,use_root_cuts,method,completed_rows,status_counts,avg_objective_metric,min_objective_metric,max_objective_metric,avg_best_bound,min_best_bound,max_best_bound,avg_gap_metric,min_gap_metric,max_gap_metric,avg_runtime_metric,min_runtime_metric,max_runtime_metric,avg_explored_nodes,min_explored_nodes,max_explored_nodes,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst10_metric,min_train_worst10_metric,max_train_worst10_metric,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst10_metric,min_test_worst10_metric,max_test_worst10_metric,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_projected_llbi_cuts_added,min_projected_llbi_cuts_added,max_projected_llbi_cuts_added,avg_projected_llbi_total_nonzeros,min_projected_llbi_total_nonzeros,max_projected_llbi_total_nonzeros,avg_projected_llbi_avg_nonzeros_per_cut,min_projected_llbi_avg_nonzeros_per_cut,max_projected_llbi_avg_nonzeros_per_cut,avg_projected_llbi_max_nonzeros_per_cut,min_projected_llbi_max_nonzeros_per_cut,max_projected_llbi_max_nonzeros_per_cut,avg_projected_llbi_separation_time_sec,min_projected_llbi_separation_time_sec,max_projected_llbi_separation_time_sec,avg_projected_llbi_total_time_sec,min_projected_llbi_total_time_sec,max_projected_llbi_total_time_sec,avg_projected_llbi_root_bound_improvement_abs,min_projected_llbi_root_bound_improvement_abs,max_projected_llbi_root_bound_improvement_abs,avg_projected_llbi_root_bound_improvement_pct,min_projected_llbi_root_bound_improvement_pct,max_projected_llbi_root_bound_improvement_pct,avg_num_variables,min_num_variables,max_num_variables,avg_num_constraints,min_num_constraints,max_num_constraints,avg_num_nonzeros,min_num_nonzeros,max_num_nonzeros,avg_coverage_llbi_num_zeta_vars,min_coverage_llbi_num_zeta_vars,max_coverage_llbi_num_zeta_vars,avg_path_llbi_num_b_vars,min_path_llbi_num_b_vars,max_path_llbi_num_b_vars
0.01,Expected,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedCoverageLLBI-poly,5,Optimal:5,105.446,97.12,110.94,105.3766725,97.02646747,110.8372014,0.0006657279574,0,0.0009630614703,2.960101154,0.97866643,4.35664018,82,46,176,105.446,97.12,110.94,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,264.8,203,456,19.6,12,32,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,460,460,460,365.8,304,557,,,,0,0,0,0,0,0
0.01,Expected,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,105.446,97.12,110.94,105.3669277,97.11,110.8540219,0.0007391261337,0.0001029654036,0.0009923243729,2.970601752,2.31390947,4.75148948,47.8,16,118,105.446,97.12,110.94,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,190.4,126,372,16.6,11,28,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,460,460,460,333,274,511,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-exp,exp,false,FPP-Branch-Benders-ProjectedPathLLBI-exp,5,Optimal:5,105.446,97.12,110.94,105.3906674,97.0550839,110.83,0.0005254992954,0,0.0009915269515,1.800885718,1.2361964,2.94957411,14.4,0,49,105.446,97.12,110.94,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,14.6,1,61,7.6,4,15,259.4,202,295,42875.6,30469,51853,164.1081678,150.8366337,175.7728814,345.2,327,353,0.482072422,0.33168335,0.65682376,0.565577408,0.38961581,0.78314423,105.0610667,96.79666667,110.6966667,10506.10667,9679.666667,11069.66667,460,460,460,275,210,351,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-exp,exp,true,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,5,Optimal:5,105.446,97.12,110.94,105.3906674,97.0550839,110.83,0.0005254992954,0,0.0009915269515,2.2948313,1.33178902,3.24460884,14.4,0,49,105.446,97.12,110.94,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,14.6,1,61,7.6,4,15,259.4,202,295,42875.6,30469,51853,164.1081678,150.8366337,175.7728814,345.2,327,353,0.525534924,0.40663523,0.66885939,0.618105802,0.48279377,0.79645144,105.0610667,96.79666667,110.6966667,10506.10667,9679.666667,11069.66667,460,460,460,275,210,351,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-poly,poly,false,FPP-Branch-Benders-ProjectedPathLLBI-poly,5,Optimal:5,105.446,97.12,110.94,105.4016961,97.09590771,110.94,0.0004283308564,0,0.0009959278751,3.202466572,2.61032548,5.05687851,72.4,31,156,105.446,97.12,110.94,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,271.4,196,420,22.8,17,36,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,460,460,460,372.4,297,521,,,,0,0,0,0,0,0
0.01,Expected,ProjectedPathLLBI-poly,poly,true,FPP-Branch-Benders-ProjectedPathLLBI-poly-RootCuts,5,Optimal:5,105.448,97.12,110.95,105.3737477,97.03393628,110.8395847,0.0007087471793,0.0002246331227,0.0009951805318,2.985768252,2.19653416,4.33693425,37,14,95,105.448,97.12,110.95,248.68,238.4,263.3,108.814,106.6788889,112.5233333,254.2466667,247.6777778,261.7,144,100,279,16.6,13,29,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,460,460,460,284.6,235,427,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp,5,Optimal:5,166.888,157.565,174.72,166.7286038,157.4110766,174.5597482,0.0009558857392,0.000917192136,0.0009768883953,5.83591851,4.46933415,7.72969624,1253.8,455,1899,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,110.6,52,189,17,11,23,164.4,153,179,28708.4,24975,32168,174.4713337,158.0696203,184.124183,345.2,327,353,1.625392008,1.14429436,1.95951434,1.717232774,1.21083585,2.09360904,155.3120526,146.265609,162.1718398,15531.20526,14626.5609,16217.18398,561,561,561,376,306,464,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-exp,exp,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-exp-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.738714,157.4078751,174.5603984,0.0008950627461,0.0006388547823,0.0009972066766,6.782277898,5.57291626,9.91166713,1449.8,458,1912,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,98.6,42,165,17.2,10,25,164.4,153,179,28708.4,24975,32168,174.4713337,158.0696203,184.124183,345.2,327,353,1.779756882,1.64530801,1.98875875,1.890768992,1.7758081,2.08997281,155.3120526,146.265609,162.1718398,15531.20526,14626.5609,16217.18398,561,561,561,385.8,320,465,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,false,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly,5,Optimal:5,166.888,157.565,174.72,166.7256755,157.4126822,174.5559865,0.0009729409079,0.0009387219551,0.000999756338,5.257673228,2.7052876,8.17545965,1841.8,513,2693,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,283.2,115,517,21.8,14,30,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,484.2,316,718,,,,0,0,0,0,0,0
0.01,MeanCVaR,ProjectedCoverageLLBI-poly,poly,true,FPP-Branch-Benders-MeanCVaR-ProjectedCoverageLLBI-poly-RootCuts,5,Optimal:5,166.888,157.565,174.72,166.7314334,157.4146999,174.5566957,0.0009378880691,0.0008967695091,0.0009844949288,6.943079726,3.82955151,12.18248962,1633.2,345,3084,108.216,100.83,117.57,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,196.2,66,422,18.8,10,35,100,100,100,14041.8,12534,15564,140.418,125.34,155.64,345.2,327,353,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,434.2,301,659,,,,0,0,0,0,0,0
