experiment_id,run_id,case_id,landscape,instance_name,instance_group,method,objective_type,risk_measure,alpha,cvar_beta,cvar_lambda,seed,train_count,test_count,train_graph_rt_ratio,train_graph_adag_ratio,train_graph_gdg_ratio,train_graph_nfr_ratio,train_graph_empty_ratio,test_graph_rt_ratio,test_graph_adag_ratio,test_graph_gdg_ratio,test_graph_nfr_ratio,test_graph_empty_ratio,instance_graph_rt_ratio,instance_graph_adag_ratio,instance_graph_gdg_ratio,instance_graph_nfr_ratio,instance_graph_empty_ratio,time_limit_sec,threads,solver_status,termination_reason,has_incumbent,objective_value,best_bound,mip_gap,runtime_sec,wall_time_sec,num_nodes,num_iterations,lp_relaxation_value,lp_relaxation_value_initial,lp_relaxation_value_final,lp_relaxation_improvement_abs,lp_relaxation_improvement_pct,uses_llbi,uses_root_cuts,uses_coverage_llbi,uses_path_llbi,uses_projected_coverage_llbi,uses_projected_path_llbi,uses_projected_llbi_poly,uses_projected_llbi_exp,uses_combinatorial_benders,uses_global_dominance,uses_conditional_zero_benefit_fixing,benders_lazy_cuts_added,root_user_cuts_added,llbi_cuts_added,coverage_llbi_cuts_added,path_llbi_cuts_added,projected_llbi_cuts_added,projected_llbi_total_nonzeros,combinatorial_benders_cuts_added,dominator_cuts_added,separator_cuts_added,global_dominance_candidates_removed,conditional_zero_benefit_fixings_attempted,conditional_zero_benefit_fixings_applied,num_variables,num_constraints,num_binary_variables,num_continuous_variables,train_expected_burned_area,test_expected_burned_area,train_cvar_burned_area,test_cvar_burned_area,train_worst10_burned_area,test_worst10_burned_area,train_eval_runtime_sec,test_eval_runtime_sec,paired_reburn_train_expected_burned_area,paired_reburn_train_cvar_burned_area,paired_reburn_train_worst10_burned_area,paired_reburn_train_eval_runtime_sec
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-CVaR-LLBI-RootCuts,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,267.94038200,0.00096800,13.30071135,17.048356,3854,56248,,,,0.00000000,0.00000000,1,1,0,0,0,0,0,0,0,0,0,725,,100,0,0,0,0,0,0,0,0,0,0,601,990,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01231782,0.12529025,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,267.93322834,0.00099467,9.98810343,13.909725,1932,29752,0.00000000,0.00000000,228.72144551,228.72144551,22872.14455078,1,1,1,0,1,0,0,1,0,0,0,281,,0,340,0,340,96079,0,0,0,0,0,0,601,791,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01334755,0.12438911,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-CVaR-ProjectedPathLLBI-exp-RootCuts,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,267.96731050,0.00086760,6.74275254,11.239792,1242,19906,0.00000000,0.00000000,234.77500529,234.77500529,23477.50052943,1,1,0,1,0,1,0,1,0,0,0,123,,0,0,439,439,123770,0,0,0,0,0,0,601,665,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01306764,0.13179311,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-CVaR-RootCuts,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,267.93916146,0.00097255,9.45815808,13.424202,2552,36296,,,,0.00000000,0.00000000,0,1,0,0,0,0,0,0,0,0,0,1428,,0,0,0,0,0,0,0,0,0,0,0,601,1597,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01587911,0.12580305,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-Combinatorial-CVaR,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,268.20000000,0.00000000,47.71728614,51.524649,370,14509,,,,0.00000000,0.00000000,0,0,0,0,0,0,0,0,1,0,0,101,0,0,0,0,0,0,4124,0,0,0,0,0,601,4225,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01160541,0.11796476,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-SAA-CVaR,cvar,cvar,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,268.20000000,267.96516487,0.00087560,541.45382108,545.404414,562,0,,,,0.00000000,0.00000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40501,26888,,,142.46000000,148.56900000,,,268.20000000,283.63000000,0.01190210,0.12622516,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-LLBI-RootCuts,expected,expected,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,128.61000000,128.61000000,0.00000000,2.43144748,5.592900,187,4418,,,,0.00000000,0.00000000,1,1,0,0,0,0,0,0,0,0,0,692,,100,0,0,0,0,0,0,0,0,0,0,500,864,,,128.61000000,138.30200000,,,272.10000000,290.09000000,0.00876641,0.08607983,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,expected,expected,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,128.61000000,128.57568100,0.00026685,3.28967840,6.566044,58,3213,0.00000000,0.00000000,124.58000000,124.58000000,12458.00000000,1,1,1,0,1,0,0,1,0,0,0,361,,0,500,0,500,125039,0,0,0,0,0,0,500,933,,,128.61000000,138.30200000,,,272.10000000,290.09000000,0.00821123,0.09656952,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,expected,expected,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,128.61000000,128.61000000,0.00000000,0.81270167,4.098902,6,1153,0.00000000,0.00000000,128.11000000,128.11000000,12811.00000000,1,1,0,1,0,1,0,1,0,0,0,0,,0,0,545,545,135544,0,0,0,0,0,0,500,546,,,128.61000000,138.30200000,,,272.10000000,290.09000000,0.00684520,0.09562839,,,,
fpp_new_instances_scaling,,case00,new20x20,new20x20,shortest_path,FPP-Branch-Benders-RootCuts,expected,expected,0.01,0.9,1.0,20260629,100,1000,0.110000,0.870000,0.000000,0.000000,0.020000,0.134000,0.850000,0.000000,0.000000,0.016000,0.110000,0.870000,0.000000,0.000000,0.020000,1800,1,Optimal,,1,128.61000000,128.50352290,0.00082791,2.95028894,6.030885,230,3560,,,,0.00000000,0.00000000,0,1,0,0,0,0,0,0,0,0,0,1606,,0,0,0,0,0,0,0,0,0,0,0,500,1679,,,128.61000000,138.30200000,,,272.10000000,290.09000000,0.00866331,0.09278079,,,,
