method,alpha,train_count,count,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,mean_mip_gap,number_optimal,number_non_optimal,mean_num_variables,mean_num_constraints
FPP-Branch-Benders-CVaR-RootCuts,0.02000000,100,5,300.12597288,300.00835290,300.60313663,0.10056467,0,5,561.00000000,2321.20000000
FPP-Branch-Benders-CVaR-RootCuts,0.03000000,100,5,300.01017303,300.00663249,300.02257681,0.26508253,0,5,561.00000000,3603.00000000
FPP-Branch-Benders-CVaR,0.02000000,100,5,300.00406038,300.00287899,300.00972936,0.09856901,0,5,561.00000000,2328.00000000
FPP-Branch-Benders-CVaR,0.03000000,100,5,300.00526926,300.00488793,300.00917658,0.25469004,0,5,561.00000000,3377.20000000
FPP-Branch-Benders-LLBI-RootCuts,0.02000000,100,5,38.18349592,41.46811745,63.15183425,0.00098909,5,0,460.00000000,1221.80000000
FPP-Branch-Benders-LLBI-RootCuts,0.03000000,100,5,300.40377871,300.18074700,301.40246269,0.05871574,0,5,460.00000000,4367.20000000
FPP-Branch-Benders-LLBI,0.02000000,100,5,54.84673760,46.71269646,102.44245106,0.00099270,5,0,460.00000000,1603.00000000
FPP-Branch-Benders-LLBI,0.03000000,100,5,300.13249638,300.13003332,300.17927194,0.05761272,0,5,460.00000000,4101.40000000
FPP-Branch-Benders-MeanCVaR,0.02000000,100,5,277.49138582,300.00306572,300.00582710,0.05800271,1,4,561.00000000,2990.20000000
FPP-Branch-Benders-MeanCVaR,0.03000000,100,5,300.00981075,300.00434917,300.03087466,0.20765212,0,5,561.00000000,5664.80000000
FPP-Branch-Benders-RootCuts,0.02000000,100,5,61.99908789,51.18549420,122.90482550,0.00098835,5,0,460.00000000,2388.20000000
FPP-Branch-Benders-RootCuts,0.03000000,100,5,300.01098236,300.00813487,300.02302479,0.05248130,0,5,460.00000000,5222.80000000
FPP-Branch-Benders,0.02000000,100,5,75.21390430,85.94838248,141.91066926,0.00099402,5,0,460.00000000,2387.20000000
FPP-Branch-Benders,0.03000000,100,5,300.00761354,300.00594620,300.01638422,0.06530700,0,5,460.00000000,5590.80000000
FPP-Restricted-Branch-Benders-CVaR,0.02000000,100,5,300.64592246,300.57564532,300.89179369,0.11931653,0,5,561.00000000,3039.00000000
FPP-Restricted-Branch-Benders-CVaR,0.03000000,100,5,307.15562249,301.69075535,322.82440699,0.16205630,0,5,561.00000000,5919.60000000
FPP-Restricted-Branch-Benders-MeanCVaR,0.02000000,100,5,300.92396233,300.95394058,301.46187176,0.06364233,0,5,561.00000000,3020.40000000
FPP-Restricted-Branch-Benders-MeanCVaR,0.03000000,100,5,320.94725761,310.30744102,349.59964907,0.10271652,0,5,561.00000000,8364.80000000
FPP-Restricted-Branch-Benders,0.02000000,100,5,126.41468485,99.94133717,223.48065797,0.00098665,5,0,460.00000000,3291.20000000
FPP-Restricted-Branch-Benders,0.03000000,100,5,309.34281258,305.13403589,322.17352107,0.04614972,0,5,460.00000000,6843.00000000
FPP-SAA-CVaR,0.02000000,100,5,300.01468942,300.01363229,300.03006420,0.13299704,0,5,36461.00000000,13993.20000000
FPP-SAA-CVaR,0.03000000,100,5,300.01698381,300.01731539,300.02548773,0.22027571,0,5,36461.00000000,13993.20000000
FPP-SAA-MeanCVaR,0.02000000,100,5,266.23607925,300.01493763,300.01672476,0.07441291,1,4,36461.00000000,13993.20000000
FPP-SAA-MeanCVaR,0.03000000,100,5,300.02485887,300.01318322,300.07697586,0.12760192,0,5,36461.00000000,13993.20000000
FPP-SAA:fpp_base,0.02000000,100,5,11.32830081,9.02756173,22.26871929,0.00033675,5,0,36360.00000000,13893.20000000
FPP-SAA:fpp_base,0.03000000,100,5,67.42450216,70.24547429,103.75574605,0.00039333,5,0,36360.00000000,13893.20000000
Greedy-Betweenness,0.02000000,100,5,1.18562945,0.82827561,2.47427395,,0,5,0.00000000,0.00000000
Greedy-Betweenness,0.03000000,100,5,1.75186645,1.49789789,2.53349745,,0,5,0.00000000,0.00000000
Greedy-Closeness,0.02000000,100,5,0.29323227,0.25552488,0.40743493,,0,5,0.00000000,0.00000000
Greedy-Closeness,0.03000000,100,5,0.41534268,0.33875541,0.73123256,,0,5,0.00000000,0.00000000
Greedy-DPV2,0.02000000,100,5,0.27579979,0.23145867,0.48251358,,0,5,0.00000000,0.00000000
Greedy-DPV2,0.03000000,100,5,0.52860416,0.64246658,0.70632259,,0,5,0.00000000,0.00000000
Greedy-DPV3,0.02000000,100,5,3.27252461,2.54736456,6.47694086,,0,5,0.00000000,0.00000000
Greedy-DPV3,0.03000000,100,5,3.58061791,3.32899425,5.21618832,,0,5,0.00000000,0.00000000
Static-DPV-MIP,0.02000000,100,5,0.01608272,0.01801530,0.02169446,0.00000000,0,5,360.00000000,1.00000000
Static-DPV-MIP,0.03000000,100,5,0.01262040,0.01054393,0.01783710,0.00000000,0,5,360.00000000,1.00000000
Static-DPV,0.02000000,100,5,0.00303784,0.00264778,0.00497508,,0,5,0.00000000,0.00000000
Static-DPV,0.03000000,100,5,0.00205272,0.00164620,0.00391420,,0,5,0.00000000,0.00000000
