landscape,alpha,train_count,method,mean_test_expected_burned_area,mean_test_worst_10pct_burned_area,mean_train_expected_burned_area,mean_runtime_seconds,number_of_cases_solved,number_of_optimal_solves,mean_mip_gap
Sub20,0.03000000,100,DPV-Branch-Benders-RootCuts,81.49577778,190.35333333,66.97000000,301.23201528,5,0,0.46408707
Sub20,0.03000000,100,DPV-Branch-Benders,80.90533333,187.27555556,68.08000000,300.88466761,5,0,0.52171494
Sub20,0.03000000,100,DPV-SAA,134.37444445,306.97111111,134.08000000,303.91489656,5,0,1.00000000
Sub20,0.03000000,100,FPP-Benders-CVaR,81.99844444,186.33333333,70.75400000,300.49651258,5,0,0.26653460
Sub20,0.03000000,100,FPP-Benders-MeanCVaR,81.33422222,184.57111111,69.91800000,300.51742707,5,0,0.21368853
Sub20,0.03000000,100,FPP-Benders,80.36600000,186.74444445,66.17600000,300.56281328,5,0,0.10945298
Sub20,0.03000000,100,FPP-Branch-Benders-CVaR-LLBI-RootCuts,81.22644445,185.05333333,69.19600000,300.15771906,5,0,0.23227869
Sub20,0.03000000,100,FPP-Branch-Benders-CVaR-LLBI,81.14311111,183.80000000,70.93000000,300.15953625,5,0,0.25259915
Sub20,0.03000000,100,FPP-Branch-Benders-CVaR-RootCuts,83.83111111,191.68222222,71.75400000,300.01017303,5,0,0.26508253
Sub20,0.03000000,100,FPP-Branch-Benders-CVaR,82.75444445,189.55111111,70.46000000,300.00526926,5,0,0.25469004
Sub20,0.03000000,100,FPP-Branch-Benders-LLBI-RootCuts,80.89444444,188.48222222,64.34600000,300.40377871,5,0,0.05871574
Sub20,0.03000000,100,FPP-Branch-Benders-LLBI,79.92333333,186.24222222,63.98000000,300.13249638,5,0,0.05761272
Sub20,0.03000000,100,FPP-Branch-Benders-MeanCVaR,81.83555556,187.54888889,68.21000000,300.00981075,5,0,0.20765212
Sub20,0.03000000,100,FPP-Branch-Benders-RootCuts,79.96800000,184.34888889,63.92000000,300.01098236,5,0,0.05248130
Sub20,0.03000000,100,FPP-Branch-Benders,79.30688889,184.47777778,64.25800000,300.00761354,5,0,0.06530700
Sub20,0.03000000,100,FPP-Restricted-Branch-Benders-CVaR,84.17822222,193.33555556,75.11200000,307.15562249,5,0,0.16205630
Sub20,0.03000000,100,FPP-Restricted-Branch-Benders-MeanCVaR,84.91044444,199.67555556,77.17800000,320.94725761,5,0,0.10271652
Sub20,0.03000000,100,FPP-Restricted-Branch-Benders,85.59288889,210.86888889,75.72000000,309.34281258,5,0,0.04614972
Sub20,0.03000000,100,FPP-SAA-CVaR,82.09088889,188.11111111,69.78800000,300.01698381,5,0,0.22027571
Sub20,0.03000000,100,FPP-SAA-MeanCVaR,81.03244444,183.58000000,67.65600000,300.02485887,5,0,0.12760192
Sub20,0.03000000,100,FPP-SAA:fpp_base,80.90044444,187.93333333,63.51600000,67.42450216,5,5,0.00039333
Sub20,0.03000000,100,Greedy-Betweenness,92.60488889,205.72888889,93.91200000,1.75186645,5,0,
Sub20,0.03000000,100,Greedy-Closeness,108.16244445,240.69111111,107.96400000,0.41534268,5,0,
Sub20,0.03000000,100,Greedy-DPV2,91.92577778,238.90666667,90.41200000,0.52860416,5,0,
Sub20,0.03000000,100,Greedy-DPV3,88.81022222,229.86000000,86.20800000,3.58061791,5,0,
Sub20,0.03000000,100,Static-DPV-MIP,88.71311111,218.25777778,81.43200000,0.01262040,5,0,0.00000000
Sub20,0.03000000,100,Static-DPV,87.67866667,215.44000000,83.52000000,0.00205272,5,0,
