experiment_id,case_id,run_id,timestamp,landscape,method,alpha,budget,train_scenario_count,test_scenario_count,objective_metric,train_ids,test_ids,solver_status,objective_in_sample,best_bound,mip_gap,runtime_seconds,solver_status_code,explored_nodes,num_variables,num_constraints,solver_iterations,cuts_added,max_cut_violation,benders_iterations,benders_cuts_added,benders_final_max_cut_violation,benders_largest_intermediate_cut_violation,benders_termination_reason,benders_master_solve_time_sec,benders_subproblem_time_sec,benders_subproblems_solved,benders_average_subproblem_time_sec,benders_max_subproblem_time_sec,benders_use_lifted_lower_bounds,benders_lifted_lower_bound_count,benders_lifted_lower_bound_precompute_time_sec,branch_benders_lazy_cuts_added,branch_benders_candidate_incumbents_checked,branch_benders_max_cut_violation,branch_benders_candidate_callback_calls,branch_benders_subproblems_attempted,branch_benders_subproblems_solved,branch_benders_subproblem_time_sec,branch_benders_average_subproblem_time_sec,branch_benders_max_subproblem_time_sec,branch_benders_callback_time_sec,branch_benders_cut_construction_time_sec,branch_benders_lazy_cut_insertion_time_sec,branch_benders_violated_cuts,branch_benders_nonviolated_cuts,branch_benders_skipped_cuts,branch_benders_duplicate_cuts,combinatorial_benders_enabled,combinatorial_benders_lift_mode,combinatorial_benders_scenario_order,combinatorial_benders_cut_sampling_ratio,combinatorial_benders_fractional_separation_enabled,combinatorial_benders_initial_cuts_enabled,combinatorial_benders_integer_cuts_added,combinatorial_benders_fractional_cuts_added,combinatorial_benders_initial_cuts_added,combinatorial_benders_scenarios_checked,combinatorial_benders_separation_time_sec,combinatorial_benders_avg_paths_per_cut,combinatorial_benders_avg_cut_nonzeros,combinatorial_benders_num_violated_cuts,coverage_llbi_enabled,coverage_llbi_num_zeta_vars,coverage_llbi_num_constraints,coverage_llbi_precompute_time_sec,path_llbi_enabled,path_llbi_num_b_vars,path_llbi_num_path_constraints,path_llbi_num_paths_used,path_llbi_precompute_time_sec,projected_coverage_llbi_enabled,projected_path_llbi_enabled,projected_llbi_family,projected_llbi_strategy,projected_llbi_mode,projected_llbi_root_rounds,projected_llbi_cuts_added,projected_llbi_coverage_cuts_added,projected_llbi_path_cuts_added,projected_llbi_violated_cuts_found,projected_llbi_separation_time_sec,projected_llbi_solve_time_sec,projected_llbi_total_time_sec,projected_llbi_total_nonzeros,projected_llbi_avg_nonzeros_per_cut,projected_llbi_max_nonzeros_per_cut,projected_llbi_min_violation,projected_llbi_max_violation,projected_llbi_avg_violation,projected_llbi_root_bound_initial,projected_llbi_root_bound_final,projected_llbi_root_bound_improvement_abs,projected_llbi_root_bound_improvement_pct,projected_poly_candidate_cuts_generated,projected_poly_candidate_cuts_added,projected_poly_enumeration_truncated,projected_poly_enumeration_limit,projected_exp_separated_cuts_added,projected_exp_separation_rounds,projected_exp_candidate_cuts_generated,projected_exp_candidate_cuts_added,projected_exp_enumeration_truncated,projected_exp_enumeration_limit,global_dominance_enabled,global_dominance_candidates_removed,global_dominance_equivalence_classes,global_dominance_precompute_time_sec,conditional_zero_benefit_enabled,conditional_zero_benefit_fixings_attempted,conditional_zero_benefit_fixings_applied,conditional_zero_benefit_time_sec,branch_benders_use_root_user_cuts,branch_benders_root_user_cuts_added,branch_benders_root_user_cut_rounds,branch_benders_root_user_cut_max_violation,restricted_candidate_enabled,restricted_candidate_exact_mode,restricted_candidate_initial_active_count,restricted_candidate_final_active_count,restricted_candidate_final_active_fraction,restricted_candidate_eventually_activated_all,restricted_candidate_rounds,restricted_candidate_cut_pool_size,restricted_candidate_heuristic_mode_enabled,restricted_candidate_stopped_before_full_activation,restricted_candidate_global_optimality_certified,fpp_mode,formulation,dominator_cuts_enabled,separator_cuts_enabled,greedy_warm_start_enabled,local_search_enabled,compact_node_count,eligible_node_count,total_observed_scenario_nodes,total_scenario_arcs,separator_cuts_added,separator_min_cut_calls,separator_callback_invocations,separator_duplicate_cuts_skipped,separator_large_cuts_skipped,separator_time_sec,dominator_cuts_added,dominator_aggregate_cuts_added,dominator_individual_cuts_added,dominator_dag_scenarios,dominator_fallback_scenarios,dominator_preprocessing_time_sec,heuristic_time_sec,heuristic_objective,heuristic_exact_evaluations,heuristic_selected_count,evaluator_objective,evaluator_abs_diff,evaluator_rel_diff,validation_status,risk_measure,cvar_beta,cvar_lambda,train_cvar_burned_area,test_cvar_burned_area,selected_firebreaks,warm_start_used,mip_start_accepted,warm_start_source,warm_start_valid_nodes,warm_start_ignored_nodes,warm_start_notes,train_expected_burned_area,train_worst_10pct_burned_area,test_expected_burned_area,test_worst_10pct_burned_area,train_evaluation_runtime_seconds,test_evaluation_runtime_seconds,test_scenario_loading_runtime_seconds,train_graph_classification_ratios,test_graph_classification_ratios,graph_type_note,notes
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial,2026-07-03T13:41:29Z,new20x20,FPP-Branch-Benders-Combinatorial,0.01000000,4,2,1,expected_burned_area_branch_benders_combinatorial,3594;3678,6141,Optimal,20.50000000,20.50000000,0.00000000,0.01322491,1,0,402,9,25,8,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,3,4,0.00000000,4,0,0,0.00000000,0.00000000,0.00000000,0.00103838,0.00003465,0.00001086,6,4,4,0,true,heuristic,eta-asc,0.10000000,true,true,3,3,2,10,0.00077703,66.50000000,65.50000000,6,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,20.50000000,0.00000000,0.00000000,pass,expected,0.90000000,1.00000000,29.00000000,329.00000000,238;256;276;292,true,true,fpp-combinatorial-greedy-initial-solution,,,,20.50000000,29.00000000,329.00000000,329.00000000,0.00002558,0.00013309,0.06612570,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is expected burned area. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial maps to callback FPP Branch-and-Benders with risk_measure=expected, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial_etadesc,2026-07-03T13:41:29Z,new20x20,FPP-Branch-Benders-Combinatorial-EtaDesc,0.01000000,4,2,1,expected_burned_area_branch_benders_combinatorial,3594;3678,6141,Optimal,20.50000000,20.31304348,0.00911983,0.01441682,102,0,402,12,34,11,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,4,5,0.00000000,5,0,0,0.00000000,0.00000000,0.00000000,0.00128449,0.00003866,0.00001190,9,5,6,0,true,heuristic,eta-desc,0.10000000,true,true,4,5,2,14,0.00097779,53.44444444,52.44444444,9,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,20.50000000,0.00000000,0.00000000,pass,expected,0.90000000,1.00000000,29.00000000,329.00000000,238;256;276;292,true,true,fpp-combinatorial-greedy-initial-solution,,,,20.50000000,29.00000000,329.00000000,329.00000000,0.00002458,0.00017477,0.06464872,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is expected burned area. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial-EtaDesc maps to callback FPP Branch-and-Benders with risk_measure=expected, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial_cvar,2026-07-03T13:41:29Z,new20x20,FPP-Branch-Benders-Combinatorial-CVaR,0.01000000,4,2,1,cvar_burned_area_beta_0.9,3594;3678,6141,Optimal,22.00000000,20.07577884,0.08746460,0.01392428,102,0,405,13,48,10,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,4,7,0.00000000,7,0,0,0.00000000,0.00000000,0.00000000,0.00113705,0.00003039,0.00001228,8,7,7,0,true,heuristic,eta-asc,0.10000000,true,true,4,4,2,15,0.00082891,43.12500000,42.12500000,8,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,22.00000000,0.00000000,0.00000000,pass,cvar,0.90000000,1.00000000,22.00000000,301.00000000,238;255;273;292,true,true,fpp-combinatorial-greedy-initial-solution,,,,22.00000000,22.00000000,301.00000000,301.00000000,0.00002544,0.00012070,0.06579495,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial-CVaR maps to callback FPP Branch-and-Benders with risk_measure=cvar, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial_cvar_etadesc,2026-07-03T13:41:29Z,new20x20,FPP-Branch-Benders-Combinatorial-CVaR-EtaDesc,0.01000000,4,2,1,cvar_burned_area_beta_0.9,3594;3678,6141,Optimal,22.00000000,21.14701264,0.03877215,0.01461490,102,0,405,14,41,11,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,5,9,0.00000000,9,0,0,0.00000000,0.00000000,0.00000000,0.00167314,0.00004058,0.00001706,9,11,6,0,true,heuristic,eta-desc,0.10000000,true,true,5,4,2,20,0.00127130,53.00000000,52.00000000,9,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,21.00000000,0.00000000,0.00000000,pass,cvar,0.90000000,1.00000000,22.00000000,307.00000000,238;256;292;312,true,true,fpp-combinatorial-greedy-initial-solution,,,,21.00000000,22.00000000,307.00000000,307.00000000,0.00002647,0.00012425,0.06422748,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial-CVaR-EtaDesc maps to callback FPP Branch-and-Benders with risk_measure=cvar, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial_meancvar,2026-07-03T13:41:29Z,new20x20,FPP-Branch-Benders-Combinatorial-MeanCVaR,0.01000000,4,2,1,mean_cvar_burned_area_beta_0.9_lambda_0.5,3594;3678,6141,Optimal,21.50000000,20.69356053,0.03750881,0.01257489,102,0,405,13,18,10,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,6,9,0.00000000,9,0,0,0.00000000,0.00000000,0.00000000,0.00126025,0.00002956,0.00001679,8,8,6,0,true,heuristic,eta-asc,0.10000000,true,true,6,2,2,16,0.00092009,40.37500000,39.37500000,8,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,21.00000000,0.00000000,0.00000000,pass,mean-cvar,0.90000000,0.50000000,22.00000000,307.00000000,238;256;292;312,true,true,fpp-combinatorial-greedy-initial-solution,,,,21.00000000,22.00000000,307.00000000,307.00000000,0.00002972,0.00013457,0.07106936,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is a mean-CVaR blend of scenario eta variables. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial-MeanCVaR maps to callback FPP Branch-and-Benders with risk_measure=mean-cvar, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
fpp_eta_desc_all_objectives_smoke_codex,0,fpp_eta_desc_all_objectives_smoke_codex_alpha0p01_train2_test1_case0_fpp_branch_benders_combinatorial_meancvar_etadesc,2026-07-03T13:41:30Z,new20x20,FPP-Branch-Benders-Combinatorial-MeanCVaR-EtaDesc,0.01000000,4,2,1,mean_cvar_burned_area_beta_0.9_lambda_0.5,3594;3678,6141,Optimal,21.50000000,20.71428571,0.03654485,0.01212651,102,0,405,12,18,9,0.00000000,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,0.00000000,0.00000000,false,0,0.00000000,5,7,0.00000000,7,0,0,0.00000000,0.00000000,0.00000000,0.00104453,0.00003063,0.00001547,7,5,6,0,true,heuristic,eta-desc,0.10000000,true,true,5,2,2,12,0.00074770,45.00000000,44.00000000,7,false,0,0,0.00000000,false,0,0,0,0.00000000,false,false,,,,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0,0.00000000,0,,0.00000000,0.00000000,,,0.00000000,0.00000000,0,0,false,0,0,0,0,0,false,0,false,0,0,0.00000000,false,0,0,0.00000000,false,0,0,0.00000000,false,false,0,0,0.00000000,false,0,0,false,false,false,fpp_branch_benders_combinatorial,branch_benders,false,false,false,false,0,0,0,0,0,0,0,0,0,0.00000000,0,0,0,0,0,0.00000000,0.00000000,,0,0,21.00000000,0.00000000,0.00000000,pass,mean-cvar,0.90000000,0.50000000,22.00000000,307.00000000,238;256;292;312,true,true,fpp-combinatorial-greedy-initial-solution,,,,21.00000000,22.00000000,307.00000000,307.00000000,0.00002575,0.00012389,0.06383032,RT=0.500000;ADAG=0.500000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,RT=0.000000;ADAG=1.000000;GDG=0.000000;NFR=0.000000;EMPTY=0.000000,Cell2Fire scenarios are treated as directed propagation graphs.,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Combinatorial FPP Branch-and-Benders separation is enabled; scenario cuts are generated by graph search instead of LP subproblem solves. | Fractional combinatorial user cuts use non-lifted path cuts when heuristic lifting is requested, because that is the conservative globally valid fractional policy. | FPP Branch-Benders master objective is a mean-CVaR blend of scenario eta variables. | Optional FPP fractional combinatorial Benders user cuts were separated in CPLEX relaxation callbacks. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-Combinatorial-MeanCVaR-EtaDesc maps to callback FPP Branch-and-Benders with risk_measure=mean-cvar, LLBI=false, root_user_cuts=false, combinatorial=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Train reader warning: Forest size inferred from run.log instance TIF metadata. | Train reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03594.csv. | Train reader warning: Skipped 1 non-arc rows in MessagesFile03678.csv. | Test reader warning: Could not open fuels.asc; attempting fallback forest-size inference. | Test reader warning: Forest size inferred from run.log instance TIF metadata. | Test reader warning: new_instances layout assumes cell IDs 1..NCells are eligible firebreak nodes. | Test reader warning: Skipped 1 non-arc rows in MessagesFile06141.csv. | Test scenarios were used only for out-of-sample evaluation."
