objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_objective_in_sample,min_objective_in_sample,max_objective_in_sample,avg_best_bound,min_best_bound,max_best_bound,avg_mip_gap,min_mip_gap,max_mip_gap,avg_runtime_seconds,min_runtime_seconds,max_runtime_seconds,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst_10pct_burned_area,min_train_worst_10pct_burned_area,max_train_worst_10pct_burned_area,avg_train_cvar_burned_area,min_train_cvar_burned_area,max_train_cvar_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst_10pct_burned_area,min_test_worst_10pct_burned_area,max_test_worst_10pct_burned_area,avg_test_cvar_burned_area,min_test_cvar_burned_area,max_test_cvar_burned_area,avg_selected_firebreak_count,min_selected_firebreak_count,max_selected_firebreak_count,avg_budget,min_budget,max_budget,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_benders_lifted_lower_bound_precompute_time_sec,min_benders_lifted_lower_bound_precompute_time_sec,max_benders_lifted_lower_bound_precompute_time_sec,avg_branch_benders_root_user_cuts_added,min_branch_benders_root_user_cuts_added,max_branch_benders_root_user_cuts_added,avg_combinatorial_benders_integer_cuts_added,min_combinatorial_benders_integer_cuts_added,max_combinatorial_benders_integer_cuts_added,avg_combinatorial_benders_fractional_cuts_added,min_combinatorial_benders_fractional_cuts_added,max_combinatorial_benders_fractional_cuts_added,avg_combinatorial_benders_initial_cuts_added,min_combinatorial_benders_initial_cuts_added,max_combinatorial_benders_initial_cuts_added,avg_combinatorial_benders_scenarios_checked,min_combinatorial_benders_scenarios_checked,max_combinatorial_benders_scenarios_checked,avg_combinatorial_benders_separation_time_sec,min_combinatorial_benders_separation_time_sec,max_combinatorial_benders_separation_time_sec,avg_subproblem_total_solve_time_sec,min_subproblem_total_solve_time_sec,max_subproblem_total_solve_time_sec,avg_subproblem_avg_solve_time_sec,min_subproblem_avg_solve_time_sec,max_subproblem_avg_solve_time_sec,avg_subproblem_max_solve_time_sec,min_subproblem_max_solve_time_sec,max_subproblem_max_solve_time_sec
CVaR,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,,Combinatorial,false,true,10,Feasible:5;Optimal:5,pass:10,199.35,158.7,234.3,184.5217564,138.6301883,234.0748605,0.001,0.001,0.001,224.1947025,89.59241544,359.0695493,100.444,81.42,118.66,199.35,158.7,234.3,199.35,158.7,234.3,104.7068889,91.74555556,116.59,237.2122222,210.1555556,265.1888889,237.2122222,210.1555556,265.1888889,6,4,8,6,4,8,103,66,152,17.4,10,27,0,0,0,0,0,0,103,66,152,9479.7,1796,23611,100,100,100,359663.8,146673,1120125,135.8154377,75.1789707,349.995706,,,,,,,,,
CVaR,FPP-SAA,FPP-SAA-CVaR,fpp_base,None,false,false,10,Feasible:6;Optimal:4,warn:10,198.69,158.7,235.3,183.7597991,135.9173444,228.2742867,0.001,0.001,0.001,246.9729461,115.0540063,300.0438601,100.361,79.28,119.82,198.62,158.7,235.3,198.62,158.7,235.3,104.5977778,92.44111111,116.59,236.9755556,208.5666667,265.1888889,236.9755556,208.5666667,265.1888889,6,4,8,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
CVaR,FPP-SAA,FPP-SAA-CVaR,fpp_cut,None,false,false,10,Feasible:10,warn:10,197.43,156.2,234.3,176.5998788,133.5998755,219.2471721,0.001,0.001,0.001,300.037542,300.0106573,300.0679795,99.735,83.42,118.66,197.43,156.2,234.3,197.43,156.2,234.3,104.1026667,93.14333333,115.8411111,235.2888889,210.2,265.1888889,235.2888889,210.2,265.1888889,6,4,8,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders,,None,false,false,10,Feasible:1;Optimal:9,pass:10,94.115,77.55,110.94,93.89160856,77.47247233,110.8337901,0.001,0.001,0.001,98.39290621,2.91945617,300.3209597,94.115,77.55,110.94,219.29,174.6,259.7,219.29,174.6,259.7,100.5367778,90.73888889,112.5233333,233.18,208.6444444,261.7,233.18,208.6444444,261.7,6,4,8,6,4,8,2724.9,935,5999,71.5,21,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI,,CoverageLLBI,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.04035116,77.47407422,110.8656716,0.001,0.001,0.001,49.0313821,17.16541394,108.5343011,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,52.3,24,80,14,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,10,Feasible:4;Optimal:6,pass:10,96.245,77.55,110.95,93.50415974,77.55,110.8705562,0.001,0.001,0.001,227.6909878,89.46233179,303.0221342,96.245,77.55,110.95,224.64,174.6,263.3,224.64,174.6,263.3,102.3352222,90.73888889,112.5233333,237.5133333,208.6444444,261.7,237.5133333,208.6444444,261.7,5.6,4,8,6,4,8,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,,CoverageLLBI+PathLLBI,true,false,10,Feasible:3;Optimal:7,pass:10,97.412,77.55,119,93.66745004,77.55,110.8705562,0.001,0.001,0.001,228.566095,86.20056123,302.8062259,97.412,77.55,119,225.77,174.6,263.3,225.77,174.6,263.3,103.1284444,90.97444444,114.8377778,239.2466667,209.1888889,262.5333333,239.2466667,209.1888889,262.5333333,5.5,3,8,6,4,8,0,0,0,3.9,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-RootCuts,,CoverageLLBI,true,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.06784268,77.55,110.94,0.001,0.001,0.001,57.5201396,11.91473268,142.5427138,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,30,7,58,12.3,4,22,0,0,0,19.8,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI,,LLBI,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.02509515,77.47245469,110.8372014,0.001,0.001,0.001,58.53319186,3.184856,203.6021364,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8,1517.3,203,4279,57,12,145,0.154956876,0.08060531,0.23305951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,,LLBI+CoverageLLBI+PathLLBI,false,false,10,Feasible:5;Optimal:5,pass:10,101.94,77.55,119.19,93.44688841,76.90167816,110.8711788,0.001,0.001,0.001,232.7493825,80.10257955,303.4855375,101.94,77.55,119.19,237.93,174.6,273,237.93,174.6,273,107.0848889,92.15333333,118.3533333,248.5011111,209.1888889,275.1777778,248.5011111,209.1888889,275.1777778,4.7,3,8,6,4,8,0,0,0,3.4,2,5,0.174816556,0.0901765,0.24278792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
