objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_objective_in_sample,min_objective_in_sample,max_objective_in_sample,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst_10pct_burned_area,min_train_worst_10pct_burned_area,max_train_worst_10pct_burned_area,avg_train_cvar_burned_area,min_train_cvar_burned_area,max_train_cvar_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst_10pct_burned_area,min_test_worst_10pct_burned_area,max_test_worst_10pct_burned_area,avg_test_cvar_burned_area,min_test_cvar_burned_area,max_test_cvar_burned_area,avg_selected_firebreak_count,min_selected_firebreak_count,max_selected_firebreak_count,avg_budget,min_budget,max_budget
CVaR,FPP-Branch-Benders,FPP-Branch-Benders-CVaR-PathLLBI-RootCuts,,PathLLBI,true,false,10,Feasible:9;Optimal:1,pass:10,198.64,160.2,237.6,99.081,81.47,117.57,198.64,160.2,237.6,198.64,160.2,237.6,103.0777778,91.65111111,115.8411111,234.3877778,210.9333333,265.1888889,234.3877778,210.9333333,265.1888889,6,4,8,6,4,8
CVaR,FPP-Branch-Benders,FPP-Branch-Benders-CVaR-RootCuts,,None,true,false,10,Feasible:5;Optimal:5,pass:10,196.59,156,234.3,100.419,80.9,118.66,196.59,156,234.3,196.59,156,234.3,105.0668889,94.00222222,116.59,237.5866667,212.5333333,265.1888889,237.5866667,212.5333333,265.1888889,6,4,8,6,4,8
CVaR,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-CVaR,,Combinatorial,false,true,10,Feasible:5;Optimal:5,pass:10,199.35,158.7,234.3,100.444,81.42,118.66,199.35,158.7,234.3,199.35,158.7,234.3,104.7068889,91.74555556,116.59,237.2122222,210.1555556,265.1888889,237.2122222,210.1555556,265.1888889,6,4,8,6,4,8
CVaR,FPP-SAA,FPP-SAA-CVaR,fpp_base,None,false,false,10,Feasible:6;Optimal:4,warn:10,198.69,158.7,235.3,100.361,79.28,119.82,198.62,158.7,235.3,198.62,158.7,235.3,104.5977778,92.44111111,116.59,236.9755556,208.5666667,265.1888889,236.9755556,208.5666667,265.1888889,6,4,8,6,4,8
CVaR,FPP-SAA,FPP-SAA-CVaR,fpp_cut,None,false,false,10,Feasible:10,warn:10,197.43,156.2,234.3,99.735,83.42,118.66,197.43,156.2,234.3,197.43,156.2,234.3,104.1026667,93.14333333,115.8411111,235.2888889,210.2,265.1888889,235.2888889,210.2,265.1888889,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders,,None,false,false,10,Feasible:1;Optimal:9,pass:10,94.115,77.55,110.94,94.115,77.55,110.94,219.29,174.6,259.7,219.29,174.6,259.7,100.5367778,90.73888889,112.5233333,233.18,208.6444444,261.7,233.18,208.6444444,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI,,CoverageLLBI,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,10,Feasible:4;Optimal:6,pass:10,96.245,77.55,110.95,96.245,77.55,110.95,224.64,174.6,263.3,224.64,174.6,263.3,102.3352222,90.73888889,112.5233333,237.5133333,208.6444444,261.7,237.5133333,208.6444444,261.7,5.6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,,CoverageLLBI+PathLLBI,true,false,10,Feasible:3;Optimal:7,pass:10,97.412,77.55,119,97.412,77.55,119,225.77,174.6,263.3,225.77,174.6,263.3,103.1284444,90.97444444,114.8377778,239.2466667,209.1888889,262.5333333,239.2466667,209.1888889,262.5333333,5.5,3,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-CoverageLLBI-RootCuts,,CoverageLLBI,true,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI,,LLBI,false,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,,LLBI+CoverageLLBI+PathLLBI,false,false,10,Feasible:5;Optimal:5,pass:10,101.94,77.55,119.19,101.94,77.55,119.19,237.93,174.6,273,237.93,174.6,273,107.0848889,92.15333333,118.3533333,248.5011111,209.1888889,275.1777778,248.5011111,209.1888889,275.1777778,4.7,3,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,,LLBI+CoverageLLBI+PathLLBI,true,false,10,Feasible:4;Optimal:6,pass:10,99.392,77.55,119.19,99.392,77.55,119.19,231.49,174.6,273,231.49,174.6,273,105.0041111,90.97444444,118.3533333,243.8022222,209.1888889,275.1777778,243.8022222,209.1888889,275.1777778,5.1,3,8,6,4,8
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-RootCuts,,LLBI,true,false,10,Optimal:10,pass:10,94.101,77.55,110.94,94.101,77.55,110.94,219.61,174.6,259.7,219.61,174.6,259.7,100.5781111,90.97444444,112.5233333,233.5655556,209.1888889,261.7,233.5655556,209.1888889,261.7,6,4,8,6,4,8
