alpha,objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_objective_in_sample,min_objective_in_sample,max_objective_in_sample,avg_best_bound,min_best_bound,max_best_bound,avg_mip_gap,min_mip_gap,max_mip_gap,avg_runtime_seconds,min_runtime_seconds,max_runtime_seconds,avg_train_expected_burned_area,min_train_expected_burned_area,max_train_expected_burned_area,avg_train_worst_10pct_burned_area,min_train_worst_10pct_burned_area,max_train_worst_10pct_burned_area,avg_train_cvar_burned_area,min_train_cvar_burned_area,max_train_cvar_burned_area,avg_test_expected_burned_area,min_test_expected_burned_area,max_test_expected_burned_area,avg_test_worst_10pct_burned_area,min_test_worst_10pct_burned_area,max_test_worst_10pct_burned_area,avg_test_cvar_burned_area,min_test_cvar_burned_area,max_test_cvar_burned_area,avg_selected_firebreak_count,min_selected_firebreak_count,max_selected_firebreak_count,avg_budget,min_budget,max_budget,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_benders_lifted_lower_bound_precompute_time_sec,min_benders_lifted_lower_bound_precompute_time_sec,max_benders_lifted_lower_bound_precompute_time_sec,avg_branch_benders_root_user_cuts_added,min_branch_benders_root_user_cuts_added,max_branch_benders_root_user_cuts_added,avg_combinatorial_benders_integer_cuts_added,min_combinatorial_benders_integer_cuts_added,max_combinatorial_benders_integer_cuts_added,avg_combinatorial_benders_fractional_cuts_added,min_combinatorial_benders_fractional_cuts_added,max_combinatorial_benders_fractional_cuts_added,avg_combinatorial_benders_initial_cuts_added,min_combinatorial_benders_initial_cuts_added,max_combinatorial_benders_initial_cuts_added,avg_combinatorial_benders_scenarios_checked,min_combinatorial_benders_scenarios_checked,max_combinatorial_benders_scenarios_checked,avg_combinatorial_benders_separation_time_sec,min_combinatorial_benders_separation_time_sec,max_combinatorial_benders_separation_time_sec,avg_subproblem_total_solve_time_sec,min_subproblem_total_solve_time_sec,max_subproblem_total_solve_time_sec,avg_subproblem_avg_solve_time_sec,min_subproblem_avg_solve_time_sec,max_subproblem_avg_solve_time_sec,avg_subproblem_max_solve_time_sec,min_subproblem_max_solve_time_sec,max_subproblem_max_solve_time_sec
0.01,Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-RootCuts,,LLBI,true,false,5,Optimal:5,pass:5,105.446,97.12,110.94,105.3669277,97.11,110.8540219,0.001,0.001,0.001,4.865975112,1.94720214,8.35440557,105.446,97.12,110.94,247.96,238.4,259.7,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,252.8266667,247.6777778,261.7,4,4,4,4,4,4,190.4,126,372,16.6,11,28,0.157816904,0.08377307,0.25220498,41.6,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI,,PathLLBI,false,false,5,Optimal:5,pass:5,105.456,97.12,110.95,105.4178967,97.12,110.87,0.001,0.001,0.001,51.12148594,24.49212363,81.37370023,105.456,97.12,110.95,247.42,232.5,263.3,247.42,232.5,263.3,109.4751111,107.5377778,112.5233333,254.2044444,247.6777778,261.7,254.2044444,247.6777778,261.7,4,4,4,4,4,4,0,0,0,4.8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI-RootCuts,,PathLLBI,true,false,5,Optimal:5,pass:5,105.456,97.12,110.95,105.4178967,97.12,110.87,0.001,0.001,0.001,37.52249654,27.89694927,62.6046167,105.456,97.12,110.95,247.42,232.5,263.3,247.42,232.5,263.3,109.4751111,107.5377778,112.5233333,254.2044444,247.6777778,261.7,254.2044444,247.6777778,261.7,4,4,4,4,4,4,0,0,0,4.8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,Expected,FPP-Branch-Benders,FPP-Branch-Benders-RootCuts,,None,true,false,5,Optimal:5,pass:5,105.446,97.12,110.94,105.3605458,97.03784489,110.8685965,0.001,0.001,0.001,7.830709208,6.24609664,10.33075424,105.446,97.12,110.94,247.96,238.4,259.7,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,252.8266667,247.6777778,261.7,4,4,4,4,4,4,974,893,1149,24.4,20,35,0,0,0,45.2,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,Expected,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,,Combinatorial,false,true,5,Optimal:5,pass:5,105.446,97.12,110.94,105.4107203,97.12,110.94,0.001,0.001,0.001,10.29992034,6.06130124,17.19549583,105.446,97.12,110.94,247.96,238.4,259.7,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,252.8266667,247.6777778,261.7,4,4,4,4,4,4,118.2,90,150,13.2,10,16,0,0,0,0,0,0,118.2,90,150,764.6,520,969,100,100,100,7723.2,4380,13713,4.352164758,1.54987336,7.9477384,,,,,,,,,
0.01,Expected,FPP-SAA,FPP-SAA,fpp_base,None,false,false,5,Optimal:5,pass:5,105.446,97.12,110.94,105.446,97.12,110.94,0.001,0.001,0.001,2.603938968,1.67501518,3.79104554,105.446,97.12,110.94,247.96,238.4,259.7,247.96,238.4,259.7,108.346,105.4188889,112.5233333,252.8266667,247.6777778,261.7,252.8266667,247.6777778,261.7,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,Expected,FPP-SAA,FPP-SAA,fpp_cut,None,false,false,5,Optimal:5,pass:5,105.462,97.12,111.02,105.4075,97.07,110.9175,0.001,0.001,0.001,8.105611694,4.56338078,15.65482474,105.462,97.12,111.02,244.96,238.4,255.2,244.96,238.4,255.2,108.4917778,106.1477778,112.5233333,252.4866667,246.5555556,261.7,252.4866667,246.5555556,261.7,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR,,None,false,false,5,Optimal:5,pass:5,166.888,157.565,174.72,166.7353035,157.4165367,174.5768533,0.001,0.001,0.001,8.262740432,3.68281727,19.82124414,108.216,100.83,117.57,225.56,214.3,238.1,225.56,214.3,238.1,111.9693333,110.3222222,115.8411111,253.8266667,246.4888889,265.1888889,253.8266667,246.4888889,265.1888889,4,4,4,4,4,4,1045.4,838,1379,26,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI,,CoverageLLBI,false,false,5,Feasible:3;Optimal:2,pass:5,166.975,157.565,174.72,163.925913,157.0981882,170.0010494,0.001,0.001,0.001,256.2660571,130.4509704,300.9860138,108.19,100.83,117.57,225.76,214.3,238.1,225.76,214.3,238.1,111.8491111,110.3222222,115.8411111,254.1844444,246.4888889,265.1888889,254.1844444,246.4888889,265.1888889,4,4,4,4,4,4,27.4,8,69,11.8,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
0.01,MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,5,Feasible:5,pass:5,193.88,158.68,243.82,-4e+74,-1e+75,166.3054844,0.001,0.001,0.001,301.7701206,300.9412933,302.945244,124.08,100.36,156.64,263.68,217,331,263.68,217,331,122.8084444,110.5477778,136.9688889,277.8444444,249.1,310.9888889,277.8444444,249.1,310.9888889,4,4,4,4,4,4,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
