objective_family,method_family,method,fpp_mode,lb_config,use_root_cuts,is_combinatorial,completed_rows,status_counts,fpp_saa_validation_status_counts,avg_runtime_seconds,min_runtime_seconds,max_runtime_seconds,avg_explored_nodes,min_explored_nodes,max_explored_nodes,avg_branch_benders_lazy_cuts_added,min_branch_benders_lazy_cuts_added,max_branch_benders_lazy_cuts_added,avg_branch_benders_candidate_incumbents_checked,min_branch_benders_candidate_incumbents_checked,max_branch_benders_candidate_incumbents_checked,avg_branch_benders_root_user_cuts_added,min_branch_benders_root_user_cuts_added,max_branch_benders_root_user_cuts_added,avg_benders_lifted_lower_bound_precompute_time_sec,min_benders_lifted_lower_bound_precompute_time_sec,max_benders_lifted_lower_bound_precompute_time_sec,avg_coverage_llbi_num_zeta_vars,min_coverage_llbi_num_zeta_vars,max_coverage_llbi_num_zeta_vars,avg_path_llbi_num_paths_used,min_path_llbi_num_paths_used,max_path_llbi_num_paths_used,avg_combinatorial_benders_integer_cuts_added,min_combinatorial_benders_integer_cuts_added,max_combinatorial_benders_integer_cuts_added,avg_combinatorial_benders_fractional_cuts_added,min_combinatorial_benders_fractional_cuts_added,max_combinatorial_benders_fractional_cuts_added,avg_combinatorial_benders_initial_cuts_added,min_combinatorial_benders_initial_cuts_added,max_combinatorial_benders_initial_cuts_added,avg_combinatorial_benders_separation_time_sec,min_combinatorial_benders_separation_time_sec,max_combinatorial_benders_separation_time_sec,avg_subproblem_total_solve_time_sec,min_subproblem_total_solve_time_sec,max_subproblem_total_solve_time_sec
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,,LLBI+CoverageLLBI+PathLLBI,true,false,10,Feasible:4;Optimal:6,pass:10,209.6001997,73.70093746,303.2138612,10.2,0,39,0,0,0,3.7,2,5,0,0,0,0.15566662,0.0842854,0.2694141,14041.8,12534,15564,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-LLBI-RootCuts,,LLBI,true,false,10,Optimal:10,pass:10,39.93685758,1.94720214,169.843596,6371.6,16,32097,1070.2,126,3605,42.2,11,109,53.8,38,76,0.134188179,0.07949196,0.25220498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI,,PathLLBI,false,false,10,Optimal:10,pass:10,61.83464322,24.49212363,144.3418665,22.8,2,63,0,0,0,5.2,3,7,0,0,0,0,0,0,0,0,0,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-PathLLBI-RootCuts,,PathLLBI,true,false,10,Optimal:10,pass:10,55.94566396,27.89694927,141.3634029,22.8,2,63,0,0,0,5.2,3,7,0,0,0,0,0,0,0,0,0,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
Expected,FPP-Branch-Benders,FPP-Branch-Benders-RootCuts,,None,true,false,10,Feasible:1;Optimal:9,pass:10,71.41754672,6.24609664,300.2785609,8001.9,14,25754,2297.6,893,4846,60.8,20,143,55.1,34,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Expected,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,,Combinatorial,false,true,10,Optimal:10,pass:10,30.50151139,6.06130124,67.979271,34.4,0,69,147.4,90,246,17.1,10,33,0,0,0,0,0,0,0,0,0,0,0,0,147.4,90,246,8174.2,520,20888,100,100,100,15.15033962,1.54987336,32.58715568,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR,,None,false,false,10,Feasible:5;Optimal:5,pass:10,154.3558762,3.68281727,300.6012723,28806.9,765,111422,3098.6,838,6481,76.6,18,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI,,CoverageLLBI,false,false,10,Feasible:8;Optimal:2,pass:10,278.4093826,130.4509704,300.9860138,451.2,203,1319,36.6,8,69,12.2,6,18,0,0,0,0,0,0,14041.8,12534,15564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI,,CoverageLLBI+PathLLBI,false,false,10,Feasible:10,pass:10,301.3535568,300.8744888,302.945244,62.8,0,166,0,0,0,3.4,1,5,0,0,0,0,0,0,14041.8,12534,15564,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-PathLLBI-RootCuts,,CoverageLLBI+PathLLBI,true,false,10,Feasible:10,pass:10,301.3075764,300.9665018,302.2676115,40.1,13,122,0,0,0,4.1,3,5,0,0,0,0,0,0,14041.8,12534,15564,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-CoverageLLBI-RootCuts,,CoverageLLBI,true,false,10,Feasible:9;Optimal:1,pass:10,282.4710407,118.7092426,300.9351863,326.2,100,762,23.3,3,38,11.3,6,15,25.2,16,35,0,0,0,14041.8,12534,15564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI,,LLBI,false,false,10,Feasible:5;Optimal:5,pass:10,154.1689686,2.75330455,300.4944231,44019.5,513,110457,1436.7,115,4317,49.6,14,114,0,0,0,0.104185565,0.06710591,0.18472695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-CoverageLLBI-PathLLBI,,LLBI+CoverageLLBI+PathLLBI,false,false,10,Feasible:10,pass:10,301.4175601,300.9607257,303.0362169,40.3,0,110,0,0,0,4.2,2,6,0,0,0,0.105471853,0.07510512,0.24040485,14041.8,12534,15564,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-CoverageLLBI-PathLLBI-RootCuts,,LLBI+CoverageLLBI+PathLLBI,true,false,10,Feasible:10,pass:10,301.6854123,300.8667719,302.8612429,37.8,0,129,0,0,0,4.3,3,6,0,0,0,0.12116038,0.06836465,0.19615795,14041.8,12534,15564,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-LLBI-RootCuts,,LLBI,true,false,10,Feasible:5;Optimal:5,pass:10,154.1843486,3.49464447,300.5514424,43959.9,345,147478,1353.9,66,4044,50.7,10,117,50.6,30,69,0.130180121,0.06737263,0.18185129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-PathLLBI,,PathLLBI,false,false,10,Feasible:6;Optimal:4,pass:10,254.2125351,109.8416138,301.6894321,384.3,80,784,0,0,0,4.9,3,8,0,0,0,0,0,0,0,0,0,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-PathLLBI-RootCuts,,PathLLBI,true,false,10,Feasible:7;Optimal:3,pass:10,258.9480591,91.27756171,301.0777459,404.7,81,807,0,0,0,4.9,3,8,0,0,0,0,0,0,0,0,0,14750.2,13478,16243,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders,FPP-Branch-Benders-MeanCVaR-RootCuts,,None,true,false,10,Feasible:5;Optimal:5,pass:10,154.4326504,3.63836338,300.381462,46119.8,1360,169262,2532.3,883,5802,62.3,19,132,47.9,27,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
MeanCVaR,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial-MeanCVaR,,Combinatorial,false,true,10,Feasible:5;Optimal:5,pass:10,182.2653774,38.57795552,306.3631167,513.4,182,803,161.6,76,294,21.1,13,35,0,0,0,0,0,0,0,0,0,0,0,0,161.6,76,294,11847.1,1331,23510,100,100,100,72.24796015,27.90225885,105.4402563,,,
