experiment_id,case_id,alpha,train_scenario_count,test_scenario_count,method,objective_in_sample,objective_metric,solver_status,best_bound,mip_gap,runtime_seconds,selected_firebreaks,train_expected_burned_area,test_expected_burned_area,test_cvar_burned_area,test_worst_10pct_burned_area,notes
alpha002_case00,0,0.02000000,100,900,FPP-Branch-Benders-RootCuts,82.84000000,expected_burned_area_branch_benders_lazy_subproblems,Optimal,82.75723697,0.00099907,81.35445489,131;154;166;216;245;291;306;326,82.84000000,92.04888889,213.41111111,213.41111111,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Lazy Benders optimality cuts are generated only at integer candidate incumbents. | FPP recourse objective is burned area from scenario LP subproblems. | FPP Branch-Benders master objective is expected burned area. | Optional FPP fractional Benders user cuts were separated at the root node only. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-RootCuts maps to callback FPP Branch-and-Benders with risk_measure=expected, LLBI=false, root_user_cuts=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Branch-Benders-LLBI-RootCuts,82.84000000,expected_burned_area_branch_benders_lazy_subproblems,Optimal,82.75790041,0.00099106,56.88730518,131;154;166;216;245;291;306;326,82.84000000,92.04888889,213.41111111,213.41111111,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Lazy Benders optimality cuts are generated only at integer candidate incumbents. | FPP recourse objective is burned area from scenario LP subproblems. | FPP Branch-Benders master objective is expected burned area. | Optional FPP fractional Benders user cuts were separated at the root node only. | Optional FPP lifted lower-bound inequalities were added to the callback master. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-LLBI-RootCuts maps to callback FPP Branch-and-Benders with risk_measure=expected, LLBI=true, root_user_cuts=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Branch-Benders-CVaR-LLBI,161.90000000,cvar_burned_area_beta_0.9,Feasible,146.61452668,0.09441305,300.15896919,131;166;213;216;228;264;326;336,87.05000000,94.33666667,216.70000000,216.70000000,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Lazy Benders optimality cuts are generated only at integer candidate incumbents. | FPP recourse objective is burned area from scenario LP subproblems. | FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | FPP fractional root user cuts were disabled. | Optional FPP lifted lower-bound inequalities were added to the callback master. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-CVaR-LLBI maps to callback FPP Branch-and-Benders with risk_measure=cvar, LLBI=true, root_user_cuts=false. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Branch-Benders-CVaR-RootCuts,162.10000000,cvar_burned_area_beta_0.9,Feasible,149.53162971,0.07753467,300.60313663,111;166;213;216;228;264;310;326,87.97000000,93.75888889,212.82222222,212.82222222,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Lazy Benders optimality cuts are generated only at integer candidate incumbents. | FPP recourse objective is burned area from scenario LP subproblems. | FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | Optional FPP fractional Benders user cuts were separated at the root node only. | FPP lifted lower-bound inequalities were disabled. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-CVaR-RootCuts maps to callback FPP Branch-and-Benders with risk_measure=cvar, LLBI=false, root_user_cuts=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Branch-Benders-CVaR-LLBI-RootCuts,162.40000000,cvar_burned_area_beta_0.9,Feasible,147.79911369,0.08990694,300.14853435,131;166;213;216;228;264;326;335,86.88000000,93.79333333,215.91111111,215.91111111,"Callback-based FPP-SAA Branch-and-Benders-cut solver. | Lazy Benders optimality cuts are generated only at integer candidate incumbents. | FPP recourse objective is burned area from scenario LP subproblems. | FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | Optional FPP fractional Benders user cuts were separated at the root node only. | Optional FPP lifted lower-bound inequalities were added to the callback master. | Callback FPP Branch-and-Benders is separate from explicit-loop FPP-Benders. | Batch method label FPP-Branch-Benders-CVaR-LLBI-RootCuts maps to callback FPP Branch-and-Benders with risk_measure=cvar, LLBI=true, root_user_cuts=true. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Restricted-Branch-Benders,82.84000000,expected_burned_area_restricted_branch_benders,Optimal,82.75786613,0.00099148,83.46223609,131;154;166;216;245;291;306;326,82.84000000,92.04888889,213.41111111,213.41111111,"Restricted-candidate FPP Branch-and-Benders stage: full. | Master keeps the full eligible firebreak vector and applies candidate upper bounds. | Lazy Benders cuts are generated over the full eligible y-vector. | Generated full-space cuts are stored for activation and cut-pool reuse. | Restricted FPP Branch-Benders master objective is expected burned area. | Preloaded 998 full-space cuts from the restricted-candidate cut pool. | Batch method label FPP-Restricted-Branch-Benders maps to exact-mode restricted-candidate FPP Branch-and-Benders with burn-frequency initialization, eventual full activation, and risk_measure=expected. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Restricted-Branch-Benders-CVaR,161.70000000,cvar_burned_area_beta_0.9,RestrictedTimeLimit,148.67109674,0.08057454,300.38574288,131;166;193;216;228;264;326;334,86.29000000,92.13000000,213.45555556,213.45555556,"Restricted-candidate FPP Branch-and-Benders stage: full. | Master keeps the full eligible firebreak vector and applies candidate upper bounds. | Lazy Benders cuts are generated over the full eligible y-vector. | Generated full-space cuts are stored for activation and cut-pool reuse. | Restricted FPP Branch-Benders master objective is pure CVaR of scenario eta variables. | Preloaded 498 full-space cuts from the restricted-candidate cut pool. | Stage reached the assigned restricted-candidate time budget. | Batch method label FPP-Restricted-Branch-Benders-CVaR maps to exact-mode restricted-candidate FPP Branch-and-Benders with burn-frequency initialization, eventual full activation, and risk_measure=cvar. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,FPP-Restricted-Branch-Benders-MeanCVaR,123.46500000,mean_cvar_burned_area_beta_0.9_lambda_0.5,RestrictedTimeLimit,116.41053090,0.05713740,300.46361662,131;166;193;216;228;264;293;326,84.53000000,90.83777778,207.86666667,207.86666667,"Restricted-candidate FPP Branch-and-Benders stage: full. | Master keeps the full eligible firebreak vector and applies candidate upper bounds. | Lazy Benders cuts are generated over the full eligible y-vector. | Generated full-space cuts are stored for activation and cut-pool reuse. | Restricted FPP Branch-Benders master objective is a mean-CVaR blend of scenario eta variables. | Preloaded 1345 full-space cuts from the restricted-candidate cut pool. | Stage reached the assigned restricted-candidate time budget. | Batch method label FPP-Restricted-Branch-Benders-MeanCVaR maps to exact-mode restricted-candidate FPP Branch-and-Benders with burn-frequency initialization, eventual full activation, and risk_measure=mean-cvar. | FppRecourseEvaluator validation passed for final selected firebreaks. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,DPV-SAA,3000.73000000,solution_dependent_DPV_unit_weights,Feasible,0.00000000,1.00000000,306.99027937,13;21;22;25;26;31;32;33,142.20000000,134.54666667,309.33333333,309.33333333,"DPV-SAA objective is solution-dependent DPV with unit weights. | DPV product-pair multiplicity is preserved. | z variables are continuous in [0,1]. | Propagation constraints use y_v only when v is eligible. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation."
alpha002_case00,0,0.02000000,100,900,DPV-Benders,1450.13000000,solution_dependent_DPV_unit_weights_benders,TimeLimit,1157.88000000,0.20153366,305.66503345,130;216;231;245;268;291;321;326,86.05000000,93.19888889,216.86666667,216.86666667,Classical iterative DPV-SAA Benders decomposition; no callbacks or lazy cuts. | Master solves binary y and per-scenario eta variables to optimality at each iteration. | Scenario subproblems solve the LP relaxation with y_copy fixed to the incumbent y. | Benders cuts use CPLEX equality-row duals directly: eta_s >= Q_s(ybar) + pi*(y-ybar). | DPV objective uses unit product-pair weights and scenario probabilities in the master. | Benders termination reason: TIME_LIMIT_REACHED. | Largest observed intermediate Benders violation: 10849.000000. | Batch method label DPV-Benders maps to explicit-loop DPV-SAA Benders with LLBI disabled. | Train reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Train reader warning: No arcs parsed from MessagesFile0665.csv. | Test reader warning: IgnitionsHistory/ignitions_log.csv has one numeric column; assuming line number is the scenario ID. | Test reader warning: No arcs parsed from MessagesFile0291.csv. | Test reader warning: No arcs parsed from MessagesFile0616.csv. | Test reader warning: No arcs parsed from MessagesFile0748.csv. | Test scenarios were used only for out-of-sample evaluation.
